"time_period","time_identifier","geographic_level","country_code","country_name","group","stem","pathway","top_10_subjects","percentage","all_occupations_percentage"
2019,"Calendar year","National","E92000001","England","Engineering technicians","STEM","Apprenticeship",NA,0.211111111111111,0.0438003299732608
2019,"Calendar year","National","E92000001","England","Engineering technicians","STEM","Further Education",NA,0.2,0.0766424962115139
2019,"Calendar year","National","E92000001","England","Engineering technicians","STEM","Higher Education",NA,0.233333333333333,0.160278822233371
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","Not STEM","A/AS levels",NA,0.0666076713006575,0.0968779254094927
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","Not STEM","Apprenticeship",NA,0.027594606681701,0.0889583085508588
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","Not STEM","Further Education",NA,0.0608984423320297,0.226791966857858
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","Not STEM","GCSEs",NA,0.0304492211660149,0.06380948440385
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","Not STEM","Higher Education",NA,0.217435985270189,0.242840666359795
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","STEM","Apprenticeship",NA,0.0913476634980446,0.0438003299732608
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","STEM","Further Education",NA,0.0884930490137307,0.0766424962115139
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","STEM","Higher Education",NA,0.417173360737632,0.160278822233371
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","Not STEM","A/AS levels",NA,0.0769329401205283,0.0968779254094927
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","Not STEM","Apprenticeship",NA,0.0641107834337736,0.0889583085508588
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","Not STEM","Further Education",NA,0.0256443133735094,0.226791966857858
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","Not STEM","GCSEs",NA,0.0384664700602641,0.06380948440385
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","Not STEM","Higher Education",NA,0.22425952045134,0.242840666359795
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","STEM","Apprenticeship",NA,0.115399410180792,0.0438003299732608
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","STEM","Further Education",NA,0.0512886267470189,0.0766424962115139
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","STEM","Higher Education",NA,0.403897935632773,0.160278822233371
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","Not STEM","A/AS levels",NA,0.0282269446348643,0.0968779254094927
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","Not STEM","Apprenticeship",NA,0.00403242066212347,0.0889583085508588
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","Not STEM","Further Education",NA,0.0161296826484939,0.226791966857858
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","Not STEM","GCSEs",NA,0.00403242066212347,0.06380948440385
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","Not STEM","Higher Education",NA,0.137787814024759,0.242840666359795
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","STEM","Apprenticeship",NA,0.0483890479454817,0.0438003299732608
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","STEM","Further Education",NA,0.0483890479454817,0.0766424962115139
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","STEM","Higher Education",NA,0.713012621476672,0.160278822233371
2019,"Calendar year","National","E92000001","England","Quantum SOC2010","Not STEM","A/AS levels",NA,0.0516845559335072,0.0968779254094927
2019,"Calendar year","National","E92000001","England","Quantum SOC2010","Not STEM","Apprenticeship",NA,0.0192314626729329,0.0889583085508588
2019,"Calendar year","National","E92000001","England","Quantum SOC2010","Not STEM","Further Education",NA,0.0504825895164489,0.226791966857858
2019,"Calendar year","National","E92000001","England","Quantum SOC2010","Not STEM","GCSEs",NA,0.0144235970046997,0.06380948440385
2019,"Calendar year","National","E92000001","England","Quantum SOC2010","Not STEM","Higher Education",NA,0.138214118297535,0.242840666359795
2019,"Calendar year","National","E92000001","England","Quantum SOC2010","STEM","Apprenticeship",NA,0.0973592797817229,0.0438003299732608
2019,"Calendar year","National","E92000001","England","Quantum SOC2010","STEM","Further Education",NA,0.0925514141134897,0.0766424962115139
2019,"Calendar year","National","E92000001","England","Quantum SOC2010","STEM","Higher Education",NA,0.536052982679664,0.160278822233371
2019,"Calendar year","National","E92000001","England","STEM SOC2010","Not STEM","A/AS levels",NA,0.0775716592774495,0.0968779254094927
2019,"Calendar year","National","E92000001","England","STEM SOC2010","Not STEM","Apprenticeship",NA,0.0494462623464444,0.0889583085508588
2019,"Calendar year","National","E92000001","England","STEM SOC2010","Not STEM","Further Education",NA,0.105394632585541,0.226791966857858
2019,"Calendar year","National","E92000001","England","STEM SOC2010","Not STEM","GCSEs",NA,0.0443050607569058,0.06380948440385
2019,"Calendar year","National","E92000001","England","STEM SOC2010","Not STEM","Higher Education",NA,0.200838015859095,0.242840666359795
2019,"Calendar year","National","E92000001","England","STEM SOC2010","STEM","Apprenticeship",NA,0.139417290163369,0.0438003299732608
2019,"Calendar year","National","E92000001","England","STEM SOC2010","STEM","Further Education",NA,0.118550060182301,0.0766424962115139
2019,"Calendar year","National","E92000001","England","STEM SOC2010","STEM","Higher Education",NA,0.264477018828895,0.160278822233371
2019,"Calendar year","National","E92000001","England","Semiconductors SOC2010","Not STEM","A/AS levels",NA,0.0695215048731901,0.0968779254094927
2019,"Calendar year","National","E92000001","England","Semiconductors SOC2010","Not STEM","Apprenticeship",NA,0.0280759923526345,0.0889583085508588
2019,"Calendar year","National","E92000001","England","Semiconductors SOC2010","Not STEM","Further Education",NA,0.105619209326577,0.226791966857858
2019,"Calendar year","National","E92000001","England","Semiconductors SOC2010","Not STEM","GCSEs",NA,0.0374346564701793,0.06380948440385
2019,"Calendar year","National","E92000001","England","Semiconductors SOC2010","Not STEM","Higher Education",NA,0.118748078131476,0.242840666359795
2019,"Calendar year","National","E92000001","England","Semiconductors SOC2010","STEM","Apprenticeship",NA,0.148401673863925,0.0438003299732608
2019,"Calendar year","National","E92000001","England","Semiconductors SOC2010","STEM","Further Education",NA,0.137706057729588,0.0766424962115139
2019,"Calendar year","National","E92000001","England","Semiconductors SOC2010","STEM","Higher Education",NA,0.35449282725243,0.160278822233371
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0596168181774176,0.0525235455057952
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","Not STEM","Higher Education","Social studies",0.0656869294143843,0.0403877832313588
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0261392349917226,0.0287368954584715
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.0425972718383627,0.00730544249000512
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","STEM","Further Education","Information and Communication Technology (ICT)",0.0251711151772143,0.0223688770047944
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","STEM","Higher Education","Biological sciences",0.0341939918484312,0.0398495725346394
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","STEM","Higher Education","Computer science",0.189267423736362,0.0174406125710503
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","STEM","Higher Education","Engineering & technology",0.132148354680375,0.0204116002668749
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","STEM","Higher Education","Mathematical sciences",0.0414645716553881,0.00830493046253149
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","STEM","Higher Education","Physical sciences",0.0573030118207429,0.0177797014724669
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0489121479183358,0.0525235455057952
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","Not STEM","Higher Education","Creative arts & design",0.033331628681338,0.0440951336702026
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","Not STEM","Higher Education","Social studies",0.0434743080533442,0.0403877832313588
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0625039064941559,0.0287368954584715
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.0306837359153129,0.00730544249000512
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","STEM","Further Education","Engineering and Manufacturing Technologies",0.0460256038729693,0.0257306735488676
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","STEM","Higher Education","Biological sciences",0.054014739557586,0.0398495725346394
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","STEM","Higher Education","Computer science",0.121501912051321,0.0174406125710503
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","STEM","Higher Education","Engineering & technology",0.113830978072493,0.0204116002668749
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","STEM","Higher Education","Physical sciences",0.0647370006079925,0.0177797014724669
2019,"Calendar year","National","E92000001","England","Design and development engineers","Not STEM","Apprenticeship","Business, Administration, Finance and Law",0.0119047619047619,0.0303208188301982
2019,"Calendar year","National","E92000001","England","Design and development engineers","Not STEM","Higher Education","Business & administrative studies",0.0119047619047619,0.0525235455057952
2019,"Calendar year","National","E92000001","England","Design and development engineers","Not STEM","Higher Education","Creative arts & design",0.0714285714285714,0.0440951336702026
