"year","area","geographic_level","22  all ","25  economically active ","Employment","31  employees ","34  self employed ","37  unemployed ","40  inactive ","empRate","Year"
"2019","Buckinghamshire","LEP",326700,269000,259100,213400,43700,9900,57700,0.793082338536884,19
"2019","Coast to Capital","LEP",949700,790900,768100,622900,139600,22800,158800,0.808781720543329,19
"2019","Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",1365400,1076900,1032500,896700,132800,44400,288500,0.756188662662956,19
"2019","Enterprise M3","LEP",929500,774100,755600,640900,113300,18600,155300,0.812910166756321,19
"2019","Hertfordshire","LEP",744200,610100,588400,488900,96400,21700,134200,0.790647675356087,19
"2019","London","LEP",6069200,4739500,4521400,3699900,800600,218000,1329800,0.74497462598036,19
"2019","New Anglia","LEP",961600,774700,748700,649100,97300,26100,186900,0.778598169717138,19
"2019","Oxfordshire","LEP",420200,354300,350400,299200,50800,3900,65900,0.833888624464541,19
"2019","Sheffield City Region","LEP",881400,679000,642900,570000,70100,36100,202400,0.729407760381212,19
"2019","Solent","LEP",769400,606300,582800,505400,76000,23500,163100,0.75747335586171,19
"2019","South East","LEP",2550200,2054900,1982500,1645200,332400,72400,495300,0.777390008626774,19
"2019","South East Midlands","LEP",1050600,855600,827700,713600,112300,27900,195000,0.787835522558538,19
"2019","York and North Yorkshire","LEP",486500,393300,385300,326100,57800,8000,93200,0.791983556012333,19
"2019","Greater Cambridge and Greater Peterborough","LEP",525900,427600,413100,363300,49700,14500,98400,0.785510553337136,19
"2019","Greater Lincolnshire","LEP",660000,515200,494900,430800,62700,20300,144800,0.749848484848485,19
"2019","Hull and East Yorkshire","LEP",362000,288100,272500,239000,32300,15600,73900,0.752762430939227,19
"2019","Leeds City Region","LEP",1451900,1100200,1050100,904400,141000,50100,351700,0.723259177629313,19
"2020","England","COUNTRY",34869000,27689400,26345800,22739700,3523800,1343600,7179600,0.755565115145258,20
"2020","Black Country","LEP",731900,558500,527100,473400,51900,31500,173300,0.720180352507173,20
"2020","Cheshire and Warrington","LEP",557100,458200,440700,388300,51600,17500,99000,0.79106085083468,20
"2020","Cornwall and Isles of Scilly","LEP",326600,257200,246800,193400,53100,10500,69400,0.755664421310472,20
"2020","Coventry and Warwickshire","LEP",587500,468000,447500,390600,56800,20500,119500,0.761702127659574,20
"2020","Cumbria","LEP",289600,232500,223300,184300,38400,9200,57100,0.771063535911602,20
"2020","Dorset","LEP",445300,358100,342500,291200,49900,15600,87200,0.769144397035706,20
"2020","Gloucestershire","LEP",379000,312000,299400,261500,36100,12600,67000,0.789973614775726,20
"2020","Greater Birmingham and Solihull","LEP",1275200,978000,910000,790800,117500,68000,297200,0.713613550815558,20
"2020","Greater Manchester","LEP",1786900,1366300,1290100,1123400,163100,76200,420600,0.721976607532598,20
"2020","Heart of the South West","LEP",1011100,816100,783100,664000,115800,33000,195000,0.774503016516665,20
"2020","Lancashire","LEP",892100,689600,666100,574800,90700,23500,202400,0.746665172065912,20
"2020","Leicester and Leicestershire","LEP",658300,529700,506900,446800,57800,22800,128600,0.770013671578308,20
"2020","Liverpool City Region","LEP",964200,727900,701500,639200,60200,26400,236300,0.72754615225057,20
"2020","North East","LEP",1222200,941400,878900,783200,93700,62500,280800,0.719113074783178,20
"2020","Stoke-on-Trent and Staffordshire","LEP",681800,550400,524100,464800,58800,26200,131400,0.768700498679965,20
"2020","Swindon and Wiltshire","LEP",432300,349300,339200,285700,52800,10100,83000,0.784640296090678,20
"2020","Tees Valley","LEP",407800,304200,285900,253800,30600,18300,103600,0.701078960274644,20
"2020","Thames Valley Berkshire","LEP",570400,466200,446700,391900,53500,19500,104200,0.783134642356241,20
"2020","The Marches","LEP",401700,322100,307800,257500,49900,14300,79600,0.766243465272591,20
"2020","West of England","LEP",745200,621700,594800,521900,71000,26800,123500,0.798174986580784,20
"2020","Worcestershire","LEP",350000,282600,272500,235400,36200,10100,67400,0.778571428571429,20
"2020","Buckinghamshire","LEP",326500,263600,253500,216600,35400,10100,62900,0.776416539050536,20
"2020","Coast to Capital","LEP",951600,779600,747200,639800,102700,32300,172000,0.78520386717108,20
"2020","Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",1367400,1080300,1023300,894600,126100,57000,287100,0.748354541465555,20
"2020","Enterprise M3","LEP",930400,774000,741800,638200,98800,32300,156400,0.797291487532244,20
"2020","Hertfordshire","LEP",746700,610100,590100,507300,81000,20000,136700,0.790277219766975,20
"2020","London","LEP",6105900,4878100,4582300,3850900,711300,295800,1227800,0.750470856057256,20
"2020","New Anglia","LEP",961800,774500,735100,635400,98300,39300,187400,0.764296111457684,20
"2020","Oxfordshire","LEP",424700,350100,338500,299000,39500,11600,74600,0.797033199905816,20
"2020","Sheffield City Region","LEP",881100,670000,633200,561800,69700,36800,211100,0.718647145613438,20
"2020","Solent","LEP",767000,606600,579800,507300,71200,26700,160400,0.75593220338983,20
"2020","South East","LEP",2558100,2056100,1970600,1657200,307300,85400,502100,0.770337359759196,20
"2020","South East Midlands","LEP",1057400,873800,838600,736800,99400,35100,183600,0.793077359561188,20
"2020","York and North Yorkshire","LEP",484600,383200,374400,316500,56200,8800,101300,0.772595955427156,20
