location,location_code,geographic_level,time_period,data_type,institution_group,level_methodology,cohort_level_group,characteristic,all_unknown,all_notsust,cohort,appren,education,all_work
North Tyneside,E08000022,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,60,191,1639,274,832,282
North Tyneside,E08000022,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,16,58,164,33,30,27
North Tyneside,E08000022,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,12,28,173,34,47,52
North Tyneside,E08000022,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,32,105,1302,207,755,203
North Tyneside,E08000022,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,39,100,948,148,483,178
North Tyneside,E08000022,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,16,35,93,24,2,16
North Tyneside,E08000022,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,5,22,105,47,4,27
North Tyneside,E08000022,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,18,43,750,77,477,135
North Tyneside,E08000022,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,36,79,858,105,480,158
North Tyneside,E08000022,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,13,23,71,19,8,8
North Tyneside,E08000022,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,2,10,37,11,1,13
North Tyneside,E08000022,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,21,46,750,75,471,137
Northumberland,E06000057,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,116,325,2473,326,1192,514
Northumberland,E06000057,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,44,102,291,46,45,54
Northumberland,E06000057,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,14,78,335,76,66,101
Northumberland,E06000057,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,58,145,1847,204,1081,359
Northumberland,E06000057,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,74,306,2131,264,1001,486
Northumberland,E06000057,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,33,106,282,45,40,58
Northumberland,E06000057,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,11,82,339,65,94,87
Northumberland,E06000057,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,30,118,1510,154,867,341
Northumberland,E06000057,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,76,360,2010,251,849,474
Northumberland,E06000057,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,23,126,292,51,17,75
Northumberland,E06000057,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,9,61,196,41,20,65
Northumberland,E06000057,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,44,173,1522,159,812,334
Redcar and Cleveland,E06000003,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,50,160,1090,128,583,169
Redcar and Cleveland,E06000003,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,12,51,110,22,7,18
Redcar and Cleveland,E06000003,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,4,31,98,26,22,15
Redcar and Cleveland,E06000003,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,34,78,882,80,554,136
Redcar and Cleveland,E06000003,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,52,197,1297,112,721,215
Redcar and Cleveland,E06000003,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,13,62,149,26,17,31
Redcar and Cleveland,E06000003,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,8,61,171,24,37,41
Redcar and Cleveland,E06000003,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,31,74,977,62,667,143
