"soc_4_digit_code","occupation_label_4_digit","high_semantic_mismatch","high_prop_mismatch","high_lightcast_mismatch","all_issues","any_issues","sum","remove"
4212,"Legal secretaries",0,0,0,FALSE,FALSE,0,0
4213,"School secretaries",0,0,0,FALSE,FALSE,0,0
4214,"Company secretaries and administrators",0,0,1,FALSE,TRUE,1,0
4215,"Personal assistants and other secretaries",0,0,0,FALSE,FALSE,0,0
4216,"Receptionists",0,0,0,FALSE,FALSE,0,0
4217,"Typists and related keyboard occupations",0,0,0,FALSE,FALSE,0,0
5111,"Farmers",0,1,0,FALSE,TRUE,1,0
5112,"Horticultural trades",0,0,0,FALSE,FALSE,0,0
5113,"Gardeners and landscape gardeners",0,0,0,FALSE,FALSE,0,0
5114,"Groundsmen and greenkeepers",0,0,1,FALSE,TRUE,1,0
5119,"Agricultural and fishing trades n.e.c.",0,0,0,FALSE,FALSE,0,0
5211,"Sheet metal workers",0,0,0,FALSE,FALSE,0,0
5212,"Metal plate workers, smiths, moulders and related occupations",0,0,0,FALSE,FALSE,0,0
5213,"Welding trades",0,0,0,FALSE,FALSE,0,0
5214,"Pipe fitters",0,0,0,FALSE,FALSE,0,0
5221,"Metal machining setters and setter-operators",0,0,0,FALSE,FALSE,0,0
5222,"Tool makers, tool fitters and markers-out",0,0,0,FALSE,FALSE,0,0
5223,"Metal working production and maintenance fitters",0,0,0,FALSE,FALSE,0,0
5224,"Precision instrument makers and repairers",0,0,0,FALSE,FALSE,0,0
5225,"Air-conditioning and refrigeration installers and repairers",0,0,0,FALSE,FALSE,0,0
5231,"Vehicle technicians, mechanics and electricians",0,0,0,FALSE,FALSE,0,0
5232,"Vehicle body builders and repairers",0,0,0,FALSE,FALSE,0,0
5233,"Vehicle paint technicians",0,0,0,FALSE,FALSE,0,0
5234,"Aircraft maintenance and related trades",0,1,0,FALSE,TRUE,1,0
5235,"Boat and ship builders and repairers",1,0,0,FALSE,TRUE,1,1
5236,"Rail and rolling stock builders and repairers",0,0,1,FALSE,TRUE,1,0
5241,"Electricians and electrical fitters",0,0,0,FALSE,FALSE,0,0
