"time_period","area","geographic_level","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
201920,"Stockton-on-Tees","LADU","681","Level 3","18","70","41","441","111"
201718,"Sunderland","LADU","1987","Total","96","307","366","822","396"
201718,"Sunderland","LADU","387","All other qualifications","40","113","149","17","68"
201718,"Sunderland","LADU","264","Level 2","16","76","56","27","89"
201718,"Sunderland","LADU","1336","Level 3","40","118","161","778","239"
201819,"Sunderland","LADU","2492","Total","87","463","355","1069","518"
201819,"Sunderland","LADU","394","All other qualifications","35","130","124","31","74"
201819,"Sunderland","LADU","613","Level 2","22","188","83","128","192"
201819,"Sunderland","LADU","1485","Level 3","30","145","148","910","252"
201920,"Sunderland","LADU","2587","Total","97","482","324","1210","474"
201920,"Sunderland","LADU","375","All other qualifications","44","145","85","36","65"
201920,"Sunderland","LADU","396","Level 2","17","134","93","55","97"
201920,"Sunderland","LADU","1816","Level 3","36","203","146","1119","312"
201718,"Blackburn with Darwen","LADU","2150","Total","115","287","221","1172","355"
201718,"Blackburn with Darwen","LADU","425","All other qualifications","45","125","71","117","67"
201718,"Blackburn with Darwen","LADU","316","Level 2","17","45","46","130","78"
201718,"Blackburn with Darwen","LADU","1409","Level 3","53","117","104","925","210"
201819,"Blackburn with Darwen","LADU","2092","Total","107","300","185","1130","370"
201819,"Blackburn with Darwen","LADU","387","All other qualifications","58","109","38","117","65"
201819,"Blackburn with Darwen","LADU","514","Level 2","19","92","67","216","120"
201819,"Blackburn with Darwen","LADU","1191","Level 3","30","99","80","797","185"
201920,"Blackburn with Darwen","LADU","1894","Total","112","327","177","914","364"
201920,"Blackburn with Darwen","LADU","366","All other qualifications","49","131","54","56","76"
201920,"Blackburn with Darwen","LADU","282","Level 2","16","68","52","68","78"
201920,"Blackburn with Darwen","LADU","1246","Level 3","47","128","71","790","210"
201718,"Blackpool","LADU","2161","Total","114","390","186","948","523"
201718,"Blackpool","LADU","310","All other qualifications","36","124","55","50","45"
201718,"Blackpool","LADU","300","Level 2","30","86","29","53","102"
201718,"Blackpool","LADU","1551","Level 3","48","180","102","845","376"
201819,"Blackpool","LADU","2186","Total","99","397","224","882","584"
201819,"Blackpool","LADU","305","All other qualifications","31","117","49","41","67"
201819,"Blackpool","LADU","470","Level 2","29","134","64","99","144"
201819,"Blackpool","LADU","1411","Level 3","39","146","111","742","373"
201920,"Blackpool","LADU","2204","Total","111","431","192","882","588"
201920,"Blackpool","LADU","394","All other qualifications","47","157","62","43","85"
201920,"Blackpool","LADU","337","Level 2","21","120","49","42","105"
201920,"Blackpool","LADU","1473","Level 3","43","154","81","797","398"
201718,"Bolton","LADU","2465","Total","169","407","266","1096","527"
201718,"Bolton","LADU","498","All other qualifications","53","165","61","108","111"
201718,"Bolton","LADU","376","Level 2","30","91","69","81","105"
