"time_period","area","geographic_level","Total Completed Key Stage 4","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
201718,"Cumbria","LSIP","4863","20","191","526","3921","205"
201819,"Cumbria","LSIP","4661","26","175","493","3759","208"
201920,"Cumbria","LSIP","4893","30","222","455","3962","224"
201516,"Derbyshire and Nottinghamshire","LSIP","21490","151","1249","1417","17922","751"
201617,"Derbyshire and Nottinghamshire","LSIP","20535","170","1267","1439","16892","767"
201718,"Derbyshire and Nottinghamshire","LSIP","19713","143","1177","1231","16356","806"
201819,"Derbyshire and Nottinghamshire","LSIP","19573","163","1113","1227","16242","828"
201920,"Derbyshire and Nottinghamshire","LSIP","20264","177","1146","1090","17078","773"
201516,"Dorset","LSIP","14287","77","588","727","12427","468"
201617,"Dorset","LSIP","13786","78","533","712","11991","472"
201718,"Dorset","LSIP","13243","67","490","583","11598","505"
201819,"Dorset","LSIP","13155","76","510","604","11465","500"
201920,"Dorset","LSIP","13453","84","597","531","11726","515"
201516,"Enterprise M3 LEP (including all of Surrey)","LSIP","10711","80","419","392","9498","322"
201617,"Enterprise M3 LEP (including all of Surrey)","LSIP","10331","65","371","343","9210","342"
201718,"Enterprise M3 LEP (including all of Surrey)","LSIP","10025","97","343","345","8911","329"
201819,"Enterprise M3 LEP (including all of Surrey)","LSIP","9782","84","376","256","8774","292"
201920,"Enterprise M3 LEP (including all of Surrey)","LSIP","10310","82","335","256","9333","304"
201516,"Essex, Southend-on-Sea and Thurrock","LSIP","18796","104","860","878","16357","597"
201617,"Essex, Southend-on-Sea and Thurrock","LSIP","18056","101","847","830","15621","657"
201718,"Essex, Southend-on-Sea and Thurrock","LSIP","17814","119","810","725","15552","608"
201819,"Essex, Southend-on-Sea and Thurrock","LSIP","17335","102","838","716","15099","580"
201920,"Essex, Southend-on-Sea and Thurrock","LSIP","17995","128","844","636","15798","589"
201516,"Gloucestershire","LSIP","6486","46","337","360","5514","229"
201617,"Gloucestershire","LSIP","6282","50","274","330","5409","219"
201718,"Gloucestershire","LSIP","6064","30","294","352","5140","248"
201819,"Gloucestershire","LSIP","5914","31","255","310","5034","284"
201920,"Gloucestershire","LSIP","6299","49","292","323","5355","280"
201516,"Greater Lincolnshire","LSIP","12000","63","605","628","10456","248"
201617,"Greater Lincolnshire","LSIP","11513","61","552","653","9977","270"
201718,"Greater Lincolnshire","LSIP","11144","74","495","566","9746","263"
201819,"Greater Lincolnshire","LSIP","10713","67","468","568","9319","291"
201920,"Greater Lincolnshire","LSIP","11227","77","484","561","9789","316"
201516,"Greater London","LSIP","74150","914","3353","1614","67183","1086"
201617,"Greater London","LSIP","75141","963","3341","1535","68082","1220"
201718,"Greater London","LSIP","74064","940","3143","1202","67557","1222"
201819,"Greater London","LSIP","74676","982","3053","1068","68437","1136"
201920,"Greater London","LSIP","78085","1072","3125","1022","71757","1109"
201516,"Greater Manchester","LSIP","28529","205","1917","1485","23965","957"
201617,"Greater Manchester","LSIP","27921","216","1739","1363","23559","1044"
201718,"Greater Manchester","LSIP","27433","177","1718","1240","23238","1060"
201819,"Greater Manchester","LSIP","27679","210","1624","1132","23781","932"
201920,"Greater Manchester","LSIP","28411","258","1859","1104","24150","1040"
201516,"Heart of the South-West","LSIP","16468","63","736","1060","14229","380"
201617,"Heart of the South-West","LSIP","15944","74","638","1000","13781","451"
201718,"Heart of the South-West","LSIP","15083","83","614","1007","12919","460"
201819,"Heart of the South-West","LSIP","14734","79","670","999","12511","475"
201920,"Heart of the South-West","LSIP","15400","100","699","930","13156","515"
201516,"Hertfordshire","LSIP","12569","68","440","379","11400","282"
201617,"Hertfordshire","LSIP","12385","63","402","390","11210","320"
201718,"Hertfordshire","LSIP","12482","57","384","381","11355","305"
201819,"Hertfordshire","LSIP","12173","78","368","265","11156","306"
201920,"Hertfordshire","LSIP","12665","91","376","274","11621","303"
201516,"Hull and East Yorkshire","LSIP","5948","30","340","482","4951","145"
201617,"Hull and East Yorkshire","LSIP","5530","36","297","480","4548","169"
201718,"Hull and East Yorkshire","LSIP","5527","36","321","388","4599","183"
201819,"Hull and East Yorkshire","LSIP","5383","31","265","375","4530","182"
201920,"Hull and East Yorkshire","LSIP","5371","30","278","366","4520","177"
201516,"Kent and Medway","LSIP","18826","97","1005","702","16509","513"
201617,"Kent and Medway","LSIP","18222","144","896","698","15972","512"
201718,"Kent and Medway","LSIP","17832","151","784","613","15671","613"
201819,"Kent and Medway","LSIP","17975","178","844","587","15760","606"
201920,"Kent and Medway","LSIP","18465","166","901","529","16286","583"
201516,"Lancashire","LSIP","15814","105","942","1019","13228","520"
201617,"Lancashire","LSIP","15181","101","826","1130","12613","511"
201718,"Lancashire","LSIP","14973","94","857","1056","12433","533"
201819,"Lancashire","LSIP","14571","122","795","904","12176","574"
201920,"Lancashire","LSIP","15082","136","830","882","12627","607"
201516,"Leicester and Leicestershire","LSIP","10398","76","545","538","8946","293"
201617,"Leicester and Leicestershire","LSIP","10232","80","590","481","8768","313"
201718,"Leicester and Leicestershire","LSIP","9982","81","553","524","8499","325"
201819,"Leicester and Leicestershire","LSIP","10145","93","529","462","8711","350"
201920,"Leicester and Leicestershire","LSIP","10511","86","635","402","9059","329"
201516,"Liverpool City Region","LSIP","15585","79","972","789","13275","470"
201617,"Liverpool City Region","LSIP","15011","111","983","682","12718","517"
201718,"Liverpool City Region","LSIP","14474","90","908","614","12275","587"
201819,"Liverpool City Region","LSIP","14177","108","910","580","12013","566"
201920,"Liverpool City Region","LSIP","14727","107","968","545","12609","498"
201516,"Norfolk and Suffolk ","LSIP","11628","55","596","646","9960","371"
201617,"Norfolk and Suffolk ","LSIP","11206","37","561","605","9631","372"
201718,"Norfolk and Suffolk ","LSIP","10747","61","477","542","9310","357"
201819,"Norfolk and Suffolk ","LSIP","10461","55","478","515","9097","316"
201920,"Norfolk and Suffolk ","LSIP","14379","87","578","632","12579","503"
201516,"Norfolk and Suffolk (Greater Anglia)","LSIP","3830","15","189","169","3348","109"
201617,"Norfolk and Suffolk (Greater Anglia)","LSIP","3736","7","168","216","3224","121"
201718,"Norfolk and Suffolk (Greater Anglia)","LSIP","3612","16","131","173","3163","129"
201819,"Norfolk and Suffolk (Greater Anglia)","LSIP","3559","19","151","172","3108","109"
201516,"North East","LSIP","11360","37","776","805","9356","386"
201617,"North East","LSIP","10917","59","629","757","9118","354"
201718,"North East","LSIP","10442","66","737","668","8546","425"
201819,"North East","LSIP","10237","63","685","640","8508","341"
201920,"North East","LSIP","10637","68","724","585","8917","343"
201516,"North of Tyne","LSIP","7685","46","452","479","6451","257"
201617,"North of Tyne","LSIP","7364","52","462","438","6106","306"
201718,"North of Tyne","LSIP","7281","58","483","412","6012","316"
201819,"North of Tyne","LSIP","7208","54","469","348","6049","288"
201920,"North of Tyne","LSIP","7233","43","495","393","6025","277"
201516,"Oxfordshire","LSIP","6108","35","247","366","5235","225"
201617,"Oxfordshire","LSIP","5894","36","256","339","5051","212"
201718,"Oxfordshire","LSIP","5859","60","251","262","5078","208"
201819,"Oxfordshire","LSIP","5794","66","232","302","4912","282"
201920,"Oxfordshire","LSIP","6065","54","265","313","5185","248"
201516,"Solent","LSIP","11358","78","641","592","9624","423"
201617,"Solent","LSIP","10955","106","654","591","9141","463"
201718,"Solent","LSIP","10602","67","558","510","9027","440"
201819,"Solent","LSIP","10235","74","616","481","8653","411"
201920,"Solent","LSIP","10639","92","661","438","8980","468"
201516,"South East Midlands","LSIP","17427","138","903","745","15099","542"
201617,"South East Midlands","LSIP","17046","143","893","751","14691","568"
201718,"South East Midlands","LSIP","16654","147","781","691","14451","584"
201819,"South East Midlands","LSIP","16733","154","795","620","14552","612"
201920,"South East Midlands","LSIP","17269","178","737","532","15233","589"
201516,"South Yorkshire","LSIP","13879","72","858","1041","11408","500"
201617,"South Yorkshire","LSIP","13446","85","848","885","11092","536"
201718,"South Yorkshire","LSIP","12954","85","821","782","10672","594"
201819,"South Yorkshire","LSIP","12817","109","780","763","10608","557"
201920,"South Yorkshire","LSIP","13176","86","915","712","10928","535"
201516,"Stoke-on-Trent and Staffordshire","LSIP","11101","24","479","684","9520","394"
201617,"Stoke-on-Trent and Staffordshire","LSIP","10772","47","467","739","9123","396"
201718,"Stoke-on-Trent and Staffordshire","LSIP","10353","74","463","675","8795","346"
201819,"Stoke-on-Trent and Staffordshire","LSIP","10166","75","439","641","8555","456"
201920,"Stoke-on-Trent and Staffordshire","LSIP","10573","66","575","570","8880","482"
201516,"Swindon and Wiltshire","LSIP","7127","38","268","264","6369","188"
201617,"Swindon and Wiltshire","LSIP","6881","28","246","317","6096","194"
201718,"Swindon and Wiltshire","LSIP","6638","65","264","232","5882","195"
201819,"Swindon and Wiltshire","LSIP","6513","54","242","242","5784","191"
201920,"Swindon and Wiltshire","LSIP","6789","75","248","233","6021","212"
201516,"Tees Valley","LSIP","7312","29","543","432","6108","200"
201617,"Tees Valley","LSIP","7093","47","538","402","5897","209"
201718,"Tees Valley","LSIP","6718","40","460","344","5635","239"
201819,"Tees Valley","LSIP","6721","43","519","342","5602","215"
201920,"Tees Valley","LSIP","6894","34","509","304","5801","246"
201516,"Thames Valley Berkshire","LSIP","8844","58","261","307","8014","204"
201617,"Thames Valley Berkshire","LSIP","8728","75","306","340","7795","212"
201718,"Thames Valley Berkshire","LSIP","8738","78","270","284","7842","264"
201819,"Thames Valley Berkshire","LSIP","8527","74","303","254","7655","241"
201920,"Thames Valley Berkshire","LSIP","9053","81","314","247","8154","257"
201516,"The Marches","LSIP","6805","55","331","362","5791","266"
201617,"The Marches","LSIP","6614","52","313","341","5653","255"
201718,"The Marches","LSIP","6236","45","318","297","5365","211"
201819,"The Marches","LSIP","6279","65","294","307","5358","255"
201920,"The Marches","LSIP","6451","98","338","301","5451","263"
201516,"West Midlands and Warwickshire","LSIP","36651","329","2014","1532","31877","899"
201617,"West Midlands and Warwickshire","LSIP","36093","382","1897","1664","31210","940"
201718,"West Midlands and Warwickshire","LSIP","35797","411","1927","1311","31174","974"
201819,"West Midlands and Warwickshire","LSIP","35913","445","1930","1286","31352","900"
201920,"West Midlands and Warwickshire","LSIP","37308","481","1989","1123","32772","943"
201516,"West of England and North Somerset","LSIP","10104","69","516","580","8656","283"
201617,"West of England and North Somerset","LSIP","9896","77","501","587","8355","376"
201718,"West of England and North Somerset","LSIP","9728","89","469","527","8278","365"
201819,"West of England and North Somerset","LSIP","9581","65","440","495","8236","345"
201920,"West of England and North Somerset","LSIP","10009","111","483","492","8603","320"
201516,"West Yorkshire","LSIP","24360","245","1506","1310","20674","625"
201617,"West Yorkshire","LSIP","23718","247","1463","1258","20068","682"
201718,"West Yorkshire","LSIP","23166","261","1455","1092","19681","677"
201819,"West Yorkshire","LSIP","23512","271","1463","1180","19879","719"
201920,"West Yorkshire","LSIP","24023","257","1407","1047","20561","751"
201516,"Worcestershire","LSIP","5583","30","212","291","4842","208"
201617,"Worcestershire","LSIP","5467","31","226","299","4734","177"
201718,"Worcestershire","LSIP","5246","32","204","272","4541","197"
201819,"Worcestershire","LSIP","5143","27","193","269","4465","189"
201920,"Worcestershire","LSIP","5336","50","243","229","4616","198"
201516,"York and North Yorkshire","LSIP","8063","37","291","477","7020","238"
201617,"York and North Yorkshire","LSIP","7674","49","274","447","6696","208"
201718,"York and North Yorkshire","LSIP","7428","36","286","418","6446","242"
201819,"York and North Yorkshire","LSIP","7487","54","289","422","6439","283"
201920,"York and North Yorkshire","LSIP","7736","48","341","363","6655","329"
