"year","area","geographic_level","  corporate managers and directors  ","  other managers and proprietors  ","  science research engineering and technology professionals  ","  health professionals  ","  teaching and other educational professionals  ","  business media and public service professionals  ","  science engineering and technology associate professionals  ","  health and social care associate professionals  ","  protective service occupations  ","  culture media and sports occupations  ","  business and public service associate professionals  ","  administrative occupations  ","  secretarial and related occupations  ","  skilled agricultural and related trades  ","  skilled metal electrical and electronic trades  ","  skilled construction and building trades  ","  textiles printing and other skilled trades  ","  caring personal service occupations  ","  leisure travel and related personal service occupations  ","  community and civil enforcement occupations  ","  sales occupations  ","  customer service occupations  ","  process plant and machine operatives  ","  transport and mobile machine drivers and operatives  ","  elementary trades and related occupations  ","  elementary administration and service occupations  "
2022,"Worcestershire","LEP",26300,6300,18100,15700,15500,19000,3800,8800,4000,5700,17000,23600,4300,3300,7100,8000,4100,19600,1900,65200,10200,6500,8600,11300,6200,"21900"
2022,"Buckinghamshire","LEP",39200,9400,24800,11000,13000,23500,6600,3700,2200,7500,24200,21400,4000,1800,9400,7800,4700,14600,3100,45700,12100,4700,4800,6300,4500,"13200"
2022,"Coast to Capital","LEP",82000,24600,67600,34000,46600,83800,13300,18800,11500,16800,81800,57700,9100,9100,16500,13600,14300,45300,20700,139300,35600,10600,7800,19700,7400,"55100"
2022,"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",76500,31000,79300,55800,57600,64000,23000,29900,9800,12700,60100,93400,14500,8800,40700,30800,18300,74600,20800,257200,46500,19100,29300,42800,21800,"96600"
2022,"Enterprise M3","LEP",88200,29700,96700,27600,32000,73800,14400,19600,8400,7200,67900,78900,14300,8500,21500,10200,7300,35900,15900,113900,32800,7800,7600,15700,6500,"43400"
2022,"Hertfordshire","LEP",58900,21300,61400,33100,25800,65100,17300,13300,3400,15900,47100,64300,11300,4800,17400,13400,8800,23900,10900,94000,21900,4800,3800,21800,3600,"37400"
2022,"London","LEP",448800,150800,493800,221700,247700,677300,78100,106200,23700,199800,401600,366700,83500,10800,66900,110000,77200,221100,83400,736300,177700,67800,35800,121800,50300,"281200"
2022,"New Anglia","LEP",47000,35100,41800,30200,32200,47400,18200,24000,14100,11500,48100,52000,15300,10100,30900,23200,17600,58700,12700,209000,48800,17500,17600,35000,21800,"67700"
2022,"Oxfordshire","LEP",27700,12000,40500,21900,30300,31100,8700,6000,2500,8900,25400,26000,6700,3000,9300,7700,8600,14500,3700,55700,10300,1600,6500,6900,5800,"24500"
2022,"Sheffield City Region","LEP",33500,25300,45300,30900,33100,42800,9800,17000,8000,9000,45100,49200,12300,2400,29500,17900,10600,48400,7700,186500,38200,15900,24200,28000,11000,"68800"
2022,"Solent","LEP",36800,26300,47300,26800,32500,39900,14800,14600,9500,14600,36100,54600,8000,3600,19300,18000,12400,38400,9200,140200,32400,10900,13800,21100,10700,"50500"
2022,"South East","LEP",159400,72000,147400,71300,115600,143900,34700,61500,32500,32800,144300,194100,39800,21200,66700,71800,40000,135600,43000,430000,109600,28200,31800,63800,33200,"163300"
2022,"South East Midlands","LEP",56100,29100,70200,27000,37400,56000,23500,19500,16300,7500,64900,77300,9900,6600,29500,22100,12300,40400,14800,223000,43100,15700,26100,39800,20200,"77600"
2022,"York and North Yorkshire","LEP",30500,17000,33700,22200,24300,29100,8000,11200,6700,10000,26000,31200,7000,9800,12800,11800,9700,21500,9200,76700,19300,4700,6000,12400,8800,"25500"
2022,"Greater Cambridge and Greater Peterborough","LEP",32500,12500,52900,14800,22300,24200,9200,9400,4500,13500,24800,41900,8600,5500,15400,15800,7800,23700,7800,85300,20500,6800,9600,12100,9700,"26600"
2022,"Greater Lincolnshire","LEP",32300,14900,26900,19900,23800,20700,12100,19800,6400,10400,25700,39300,7900,7500,18900,15500,17700,35600,7500,152700,30000,6500,20100,25400,19100,"51100"
2022,"Hull and East Yorkshire","LEP",19300,7800,15300,12500,12800,13200,6300,11000,3800,2600,15500,22800,5200,3600,11100,10100,5100,19800,4800,77200,13200,5400,10500,10000,10100,"28000"
2022,"Leeds City Region","LEP",59900,35000,85700,51200,58000,78700,18800,36700,12300,22200,75200,93300,15300,9300,38100,35000,25100,57500,21200,273900,51600,23900,35300,45100,23800,"93900"
2022,"//www.ons.gov.uk/news/statementsandletters/occupationaldatainonssurveys.","AN ISSUE WITH THE COLLECTION OF OCCUPATIONAL DATA AFFECTED THE ACCURACY OF THE BREAKDOWNS OF SOME DETAILED OCCUPATIONS, AND DATA DERIVED FROM THEM. WE ARE URGING CAUTION IN THE INTERPRETATION OF THESE DETAILED DATA AS WE RESOLVE THE ISSUE. HTTPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Brighton and Hove, East Sussex, West Sussex","LSIP",74700,25300,65700,31800,48800,67100,11600,18100,5000,16200,82300,61000,6100,6900,15700,17800,9300,55700,17800,159300,41600,7800,2000,19500,6700,"60800"
2022,"Buckinghamshire ","LSIP",39200,9400,24800,11000,13000,23500,6600,3700,2200,7500,24200,21400,4000,1800,9400,7800,4700,14600,3100,45700,12100,4700,4800,6300,4500,"13200"
2022,"Cambridgeshire and Peterborough","LSIP",32400,11600,52900,13800,22400,24400,7000,7300,2600,11200,24700,41900,8200,4500,15400,14700,3600,22500,2700,85300,18400,3900,7500,11400,8500,"24900"
2022,"Cheshire and Warrington","LSIP",38300,12600,41200,16100,21500,35100,10200,12700,2200,6000,31900,40300,5200,3900,12700,7200,6800,31100,9700,87400,19300,5700,14000,11800,6400,"29700"
2022,"Cornwall and the Isles of Scilly","LSIP",10600,10800,13200,11100,12200,15600,3700,6400,2100,5900,11300,25000,7500,8900,12700,10700,4800,16000,8700,68100,21500,1300,5200,12200,5400,"22500"
2022,"Cumbria","LSIP",11700,11300,16200,11200,10100,10300,6600,5400,2800,1300,9900,20100,2500,4700,9100,4900,2000,14200,1800,67300,23200,1700,8200,7500,5500,"17500"
2022,"Derbyshire and Nottinghamshire","LSIP",76500,27600,79000,55000,56800,62300,20200,27500,7200,6500,57500,93600,8600,3600,36100,24900,13400,74000,14600,257100,45800,12800,26100,40400,12700,"94800"
2022,"Dorset","LSIP",70800,22700,70000,38000,25700,53500,12600,15900,7100,8800,56900,71200,6000,4800,28900,16300,9000,45300,21900,125500,33300,3200,6000,16300,8000,"44400"
