"area","geographic_level","year","Total aged 16-64 None","Total aged 16-64 NVQ1","Total aged 16-64 NVQ2","Total aged 16-64 trade apprenticeships","Total aged 16-64 NVQ3","Total aged 16-64 NVQ4","Total aged 16-64 Other Qualifications","Total aged 16-19 None","Total aged 16-19 NVQ1","Total aged 16-19 NVQ2","Total aged 16-19 trade apprenticeships","Total aged 16-19 NVQ3","Total aged 16-19 NVQ4","Total aged 16-19 Other Qualifications","Total aged 20-24 None","Total aged 20-24 NVQ1","Total aged 20-24 NVQ2","Total aged 20-24 trade apprenticeships","Total aged 20-24 NVQ3","Total aged 20-24 NVQ4","Total aged 20-24 Other Qualifications","Total aged 25-29 None","Total aged 25-29 NVQ1","Total aged 25-29 NVQ2","Total aged 25-29 trade apprenticeships","Total aged 25-29 NVQ3","Total aged 25-29 NVQ4","Total aged 25-29 Other Qualifications","Total aged 30-39 None","Total aged 30-39 NVQ1","Total aged 30-39 NVQ2","Total aged 30-39 trade apprenticeships","Total aged 30-39 NVQ3","Total aged 30-39 NVQ4","Total aged 30-39 Other Qualifications","Total aged 40-49 None","Total aged 40-49 NVQ1","Total aged 40-49 NVQ2","Total aged 40-49 trade apprenticeships","Total aged 40-49 NVQ3","Total aged 40-49 NVQ4","Total aged 40-49 Other Qualifications","Total aged 50-64 None","Total aged 50-64 NVQ1","Total aged 50-64 NVQ2","Total aged 50-64 trade apprenticeships","Total aged 50-64 NVQ3","Total aged 50-64 NVQ4","Total aged 50-64 Other Qualifications"
"York and North Yorkshire","LEP",2021,"25800","38100","70700","13700","84800","233100","15700","7000","2700","14300","c","9200","600","c","1800","c","7800","1900","19400","10600","c","c","3600","4500","c","5500","28900","c","3300","6500","9600","1900","15400","49900","3700","1600","6800","9500","2100","14400","54600","3100","11600","16800","25100","7300","20800","88600","6900"
"Greater Cambridge and Greater Peterborough","LEP",2021,"31600","50100","74400","11000","102100","227900","26700","5600","6400","15500","c","8200","900","c","2800","2900","10300","c","17500","12800","c","c","3200","6200","c","14000","24900","c","3700","8000","9500","2100","21800","58200","8500","6100","6600","13100","800","16800","60800","5400","11700","23000","19800","5800","23800","70300","9200"
"Greater Lincolnshire","LEP",2021,"57600","84300","121100","25000","113000","206000","47300","10600","6400","20400","c","5300","c","1500","2800","8400","10300","3200","13400","13400","4300","2300","2400","9200","2800","19200","20700","5700","10100","11100","13800","4400","26200","54000","10000","5200","14400","21200","3200","20700","47000","10500","26600","41600","46200","11300","28300","70400","15400"
"Hull and East Yorkshire","LEP",2021,"32900","42900","64600","17200","71900","117600","12600","4500","3100","8600","c","5200","c","1200","1300","2200","4900","3300","10700","11100","c","2900","5000","3800","3300","8700","10100","c","7300","8800","10800","2200","15300","26400","c","4400","6800","12400","2500","14000","28100","3300","12600","16900","24000","5600","17900","41600","5700"
"Leeds City Region","LEP",2021,"122800","146600","225300","38700","265000","553600","94500","15300","10200","53300","1600","24800","1300","3700","12900","9600","13300","7800","62100","47900","7600","6400","9400","16300","3300","28100","81700","9600","17100","28700","39700","5000","53600","147000","15800","22800","29700","33200","3200","39400","130900","23200","48400","59000","69600","17800","57000","144900","34600"
"Brighton and Hove, East Sussex, West Sussex","LSIP",2021,"51200","123400","153500","15600","181100","447600","48900","2800","6200","30000","0","4400","0","0","0","3800","4700","0","26700","14000","0","4300","2200","2400","0","13500","30800","0","0","11100","4100","0","31800","106700","6100","1800","17100","16500","900","28500","117100","3700","12500","47100","53700","3500","52600","157200","9900"
"Buckinghamshire ","LSIP",2021,"15700","23800","44100","11700","59900","156200","15000","3700","1200","10100","0","7100","0","0","0","0","3300","1800","9900","9600","0","0","0","1500","1600","10300","13900","0","2000","1700","5700","3300","7900","38500","2300","1400","6200","6000","1200","10800","46400","3900","7400","13200","17500","3800","14000","47300","6500"
"Cambridgeshire and Peterborough","LSIP",2021,"31600","50200","74500","9100","102100","227900","26100","3000","6500","15000","0","6400","900","0","0","2100","8300","0","10800","12000","0","0","0","2000","0","9200","24900","0","1700","5800","5100","0","21700","58200","3900","2600","5500","12300","0","16800","60800","2100","10800","23000","19900","5500","22400","70200","8900"
"Cheshire and Warrington","LSIP",2021,"28100","47700","98000","22400","90700","243400","23600","5600","2600","16500","0","8600","0","0","0","0","2900","0","17100","16600","0","0","0","6800","0","12000","22800","0","3300","7200","14300","1100","16500","59800","5000","3000","12300","19800","4100","15300","53900","7100","10500","21700","35800","8700","21400","89800","8500"
"Cornwall and the Isles of Scilly","LSIP",2021,"18100","40100","58000","17700","59500","118400","13900","4600","4300","10800","0","3700","0","0","0","2700","4000","0","12700","13300","0","0","3200","4900","3300","5100","10900","0","0","4600","10100","1400","10100","21900","3500","0","6200","9000","3000","13500","21900","2400","11000","19100","19300","9400","14400","49100","6500"
