"geogConcat","metric","breakdown","subgroup","chartPeriod","timePeriod","latest","valueText","value"
"Coast to Capital LEP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0270600850816929",0.0270600850816929
"Coast to Capital LEP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.027907025973724",0.027907025973724
"Coast to Capital LEP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.027128926102403",0.027128926102403
"Coast to Capital LEP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0277464419245088",0.0277464419245088
"Coast to Capital LEP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0218817977490353",0.0218817977490353
"Coast to Capital LEP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.027265793092897",0.027265793092897
"Coast to Capital LEP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0245324648444101",0.0245324648444101
"Coast to Capital LEP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0258490033977044",0.0258490033977044
"Coast to Capital LEP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0256226386773288",0.0256226386773288
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0307566540256843",0.0307566540256843
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0280849002782098",0.0280849002782098
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0323055379162565",0.0323055379162565
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0246062244372638",0.0246062244372638
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0296409530267738",0.0296409530267738
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0226727440242485",0.0226727440242485
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0218017184160852",0.0218017184160852
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.026410020969758",0.026410020969758
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0227985567338518",0.0227985567338518
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.031753718945466",0.031753718945466
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0254880148384424",0.0254880148384424
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0250894484626585",0.0250894484626585
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0160373120350141",0.0160373120350141
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0285152584143853",0.0285152584143853
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0290696048739765",0.0290696048739765
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0271057604489557",0.0271057604489557
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0254725816685257",0.0254725816685257
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0227493392647329",0.0227493392647329
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0304393388519673",0.0304393388519673
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0256260033464457",0.0256260033464457
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0255038103228218",0.0255038103228218
"Cornwall and Isles of Scilly LEP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0254394033691916",0.0254394033691916
"Coventry and Warwickshire LEP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0299847410188188",0.0299847410188188
"Coventry and Warwickshire LEP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0287929397601692",0.0287929397601692
"Coventry and Warwickshire LEP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0253014621556884",0.0253014621556884
"Coventry and Warwickshire LEP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0238987971721085",0.0238987971721085
"Coventry and Warwickshire LEP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0297392698615211",0.0297392698615211
"Coventry and Warwickshire LEP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.02288989906602",0.02288989906602
"Coventry and Warwickshire LEP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0241841647393251",0.0241841647393251
"Coventry and Warwickshire LEP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0262581374332316",0.0262581374332316
"Coventry and Warwickshire LEP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0246106061833815",0.0246106061833815
"Coventry and Warwickshire LEP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.031394305442584",0.031394305442584
"Coventry and Warwickshire LEP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0258714678116958",0.0258714678116958
"Coventry and Warwickshire LEP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0253019822359064",0.0253019822359064
"Coventry and Warwickshire LEP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0172950983528466",0.0172950983528466
"Coventry and Warwickshire LEP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.027058629385061",0.027058629385061
"Coventry and Warwickshire LEP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0270147835150987",0.0270147835150987
"Coventry and Warwickshire LEP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0269350284454921",0.0269350284454921
"Coventry and Warwickshire LEP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0277243987032656",0.0277243987032656
"Coventry and Warwickshire LEP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.02335247234696",0.02335247234696
"Coventry and Warwickshire LEP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0277572978865741",0.0277572978865741
"Coventry and Warwickshire LEP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0291615554155993",0.0291615554155993
"Coventry and Warwickshire LEP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0254736395309683",0.0254736395309683
"Coventry and Warwickshire LEP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0260992922821774",0.0260992922821774
"Cumbria LEP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0299118398175529",0.0299118398175529
"Cumbria LEP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0286035994062932",0.0286035994062932
"Cumbria LEP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0235711879222484",0.0235711879222484
"Cumbria LEP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0232444098086921",0.0232444098086921
"Cumbria LEP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0307164700527069",0.0307164700527069
"Cumbria LEP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0228556908482951",0.0228556908482951
"Cumbria LEP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0251235477820417",0.0251235477820417
"Cumbria LEP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0265560761676489",0.0265560761676489
"Cumbria LEP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0236044135796079",0.0236044135796079
"Cumbria LEP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0318027524697539",0.0318027524697539
"Cumbria LEP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0261036596431405",0.0261036596431405
"Cumbria LEP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0256139759407976",0.0256139759407976
"Cumbria LEP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0185503183617253",0.0185503183617253
"Cumbria LEP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0268779027288781",0.0268779027288781
"Cumbria LEP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0272212219911701",0.0272212219911701
"Cumbria LEP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0266595817475017",0.0266595817475017
"Cumbria LEP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0272804636206143",0.0272804636206143
"Cumbria LEP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0215714415208106",0.0215714415208106
"Cumbria LEP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0267982671163947",0.0267982671163947
"Cumbria LEP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0271905475312513",0.0271905475312513
"Cumbria LEP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0247900592329917",0.0247900592329917
"Cumbria LEP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.02584260797753",0.02584260797753
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0275089179670556",0.0275089179670556
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0264949301434714",0.0264949301434714
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0257360448746609",0.0257360448746609
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0235773229632912",0.0235773229632912
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0278225854619749",0.0278225854619749
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0237826621369723",0.0237826621369723
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0216431114062743",0.0216431114062743
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.025928435357228",0.025928435357228
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0263648509662588",0.0263648509662588
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0315319496639455",0.0315319496639455
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0254008965761121",0.0254008965761121
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0260616031171517",0.0260616031171517
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0167911973448918",0.0167911973448918
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0259882580598578",0.0259882580598578
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0279422918501437",0.0279422918501437
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0276654851561546",0.0276654851561546
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0262840638665638",0.0262840638665638
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0219915267751656",0.0219915267751656
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0273169182078115",0.0273169182078115
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0263948566191181",0.0263948566191181
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.025401561042625",0.025401561042625
"Derby, Derbyshire, Nottingham and Nottinghamshire LEP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0261870715495887",0.0261870715495887
"Dorset LEP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0293521882149537",0.0293521882149537
"Dorset LEP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0284411968123615",0.0284411968123615
"Dorset LEP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0310538698964546",0.0310538698964546
"Dorset LEP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0259225526353319",0.0259225526353319
"Dorset LEP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0295286431513306",0.0295286431513306
"Dorset LEP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0223297769858666",0.0223297769858666
"Dorset LEP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.022385290365222",0.022385290365222
"Dorset LEP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0266210859774312",0.0266210859774312
"Dorset LEP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0233596873240587",0.0233596873240587
"Dorset LEP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0323464585822322",0.0323464585822322
"Dorset LEP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0255687439545873",0.0255687439545873
"Dorset LEP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0251151234924862",0.0251151234924862
"Dorset LEP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0173419642758115",0.0173419642758115
"Dorset LEP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.028182486313711",0.028182486313711
"Dorset LEP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0283773867833255",0.0283773867833255
"Dorset LEP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0260744467649361",0.0260744467649361
"Dorset LEP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0255728897713636",0.0255728897713636
"Dorset LEP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0228013236170568",0.0228013236170568
"Dorset LEP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0297376439395778",0.0297376439395778
"Dorset LEP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0254557969552927",0.0254557969552927
"Dorset LEP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0260482248970724",0.0260482248970724
"Dorset LEP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.025493197932541",0.025493197932541
"Enterprise M3 LEP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0292402834664589",0.0292402834664589
"Enterprise M3 LEP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0287500135372183",0.0287500135372183
"Enterprise M3 LEP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0298981032264676",0.0298981032264676
"Enterprise M3 LEP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0251730223767364",0.0251730223767364
"Enterprise M3 LEP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0287283233850957",0.0287283233850957
"Enterprise M3 LEP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0238236457703542",0.0238236457703542
"Enterprise M3 LEP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0216324899914573",0.0216324899914573
"Enterprise M3 LEP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0256157053748731",0.0256157053748731
"Enterprise M3 LEP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0277209319770146",0.0277209319770146
"Enterprise M3 LEP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0305826934683737",0.0305826934683737
"Enterprise M3 LEP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0260833465795651",0.0260833465795651
"Enterprise M3 LEP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0257196989799782",0.0257196989799782
"Enterprise M3 LEP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0207686566925132",0.0207686566925132
"Enterprise M3 LEP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0268899638348445",0.0268899638348445
"Enterprise M3 LEP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0278999673252476",0.0278999673252476
"Enterprise M3 LEP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0272120363166681",0.0272120363166681
"Enterprise M3 LEP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0279032496794462",0.0279032496794462
"Enterprise M3 LEP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0219002841799878",0.0219002841799878
"Enterprise M3 LEP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0270640473148442",0.0270640473148442
"Enterprise M3 LEP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0261085466043487",0.0261085466043487
"Enterprise M3 LEP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0260974765199797",0.0260974765199797
