"geogConcat","metric","breakdown","subgroup","chartPeriod","timePeriod","latest","valueText","value"
"Cambridgeshire and Peterborough LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Agricultural And Related Trades","2020",2020-01-01,1,"0.0311372638814504",0.0311372638814504
"Cambridgeshire and Peterborough LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Construction And Building Trades","2020",2020-01-01,1,"0.022942828917768",0.022942828917768
"Cambridgeshire and Peterborough LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Metal, Electrical And Electronic Trades","2020",2020-01-01,1,"0.0215512288403139",0.0215512288403139
"Cambridgeshire and Peterborough LSIP","replacementDemand","Occupation (SOC2020 submajor)","Teaching And Other Educational Professionals","2020",2020-01-01,1,"0.0277802318116105",0.0277802318116105
"Cambridgeshire and Peterborough LSIP","replacementDemand","Occupation (SOC2020 submajor)","Textiles, Printing And Other Skilled Trades","2020",2020-01-01,1,"0.0257195784945405",0.0257195784945405
"Cambridgeshire and Peterborough LSIP","replacementDemand","Occupation (SOC2020 submajor)","Transport And Mobile Machine Drivers And Operatives","2020",2020-01-01,1,"0.0298859566307144",0.0298859566307144
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Administrative Occupations","2020",2020-01-01,1,"0.0278645120262611",0.0278645120262611
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business And Public Service Associate Professionals","2020",2020-01-01,1,"0.0260842443585549",0.0260842443585549
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business, Media And Public Service Professionals","2020",2020-01-01,1,"0.0280498012168424",0.0280498012168424
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Caring Personal Service Occupations","2020",2020-01-01,1,"0.0327250864329232",0.0327250864329232
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Community And Civil Enforcement Occupations","2020",2020-01-01,1,"0.0197635987756715",0.0197635987756715
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Corporate Managers And Directors","2020",2020-01-01,1,"0.0264356354738751",0.0264356354738751
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Culture, Media And Sports Occupations","2020",2020-01-01,1,"0.0236245009628424",0.0236245009628424
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Customer Service Occupations","2020",2020-01-01,1,"0.0278770831574142",0.0278770831574142
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Administration And Service Occupations","2020",2020-01-01,1,"0.0243943242817106",0.0243943242817106
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Trades And Related Occupations","2020",2020-01-01,1,"0.0409801276553139",0.0409801276553139
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health And Social Care Associate Professionals","2020",2020-01-01,1,"0.0462862709075766",0.0462862709075766
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health Professionals","2020",2020-01-01,1,"0.0293902534840296",0.0293902534840296
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Leisure, Travel And Related Personal Service Occupations","2020",2020-01-01,1,"0.0257266323394363",0.0257266323394363
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Other Managers And Proprietors","2020",2020-01-01,1,"0.0316846727905109",0.0316846727905109
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Process, Plant And Machine Operatives","2020",2020-01-01,1,"0.0220677414950277",0.0220677414950277
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Protective Service Occupations","2020",2020-01-01,1,"0.0160382642794776",0.0160382642794776
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Sales Occupations","2020",2020-01-01,1,"0.0256478555865691",0.0256478555865691
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Engineering And Technology Associate Professionals","2020",2020-01-01,1,"0.0223734567102987",0.0223734567102987
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Research, Engineering And Technology Professionals","2020",2020-01-01,1,"0.0258919074108561",0.0258919074108561
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Secretarial And Related Occupations","2020",2020-01-01,1,"0.024882539385173",0.024882539385173
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Agricultural And Related Trades","2020",2020-01-01,1,"0.0303921449804148",0.0303921449804148
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Construction And Building Trades","2020",2020-01-01,1,"0.0223101708844091",0.0223101708844091
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Metal, Electrical And Electronic Trades","2020",2020-01-01,1,"0.0203179156838658",0.0203179156838658
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Teaching And Other Educational Professionals","2020",2020-01-01,1,"0.0291957477940432",0.0291957477940432
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Textiles, Printing And Other Skilled Trades","2020",2020-01-01,1,"0.0257868303442215",0.0257868303442215
"Cheshire and Warrington LSIP","replacementDemand","Occupation (SOC2020 submajor)","Transport And Mobile Machine Drivers And Operatives","2020",2020-01-01,1,"0.0286374437369628",0.0286374437369628
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Administrative Occupations","2020",2020-01-01,1,"0.0284574982955637",0.0284574982955637
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business And Public Service Associate Professionals","2020",2020-01-01,1,"0.0263967585189844",0.0263967585189844
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business, Media And Public Service Professionals","2020",2020-01-01,1,"0.0284171920897236",0.0284171920897236
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Caring Personal Service Occupations","2020",2020-01-01,1,"0.0316471551910484",0.0316471551910484
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Community And Civil Enforcement Occupations","2020",2020-01-01,1,"0.0182207383573989",0.0182207383573989
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Corporate Managers And Directors","2020",2020-01-01,1,"0.0266729667789769",0.0266729667789769
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Culture, Media And Sports Occupations","2020",2020-01-01,1,"0.0278220069904298",0.0278220069904298
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Customer Service Occupations","2020",2020-01-01,1,"0.0292982746629096",0.0292982746629096
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Administration And Service Occupations","2020",2020-01-01,1,"0.025271048361255",0.025271048361255
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Trades And Related Occupations","2020",2020-01-01,1,"0.0441588245327047",0.0441588245327047
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health And Social Care Associate Professionals","2020",2020-01-01,1,"0.0450840360321714",0.0450840360321714
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health Professionals","2020",2020-01-01,1,"0.0296275229435956",0.0296275229435956
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Leisure, Travel And Related Personal Service Occupations","2020",2020-01-01,1,"0.0294839252608528",0.0294839252608528
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Other Managers And Proprietors","2020",2020-01-01,1,"0.0330379459333916",0.0330379459333916
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Process, Plant And Machine Operatives","2020",2020-01-01,1,"0.022854651962493",0.022854651962493
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Protective Service Occupations","2020",2020-01-01,1,"0.0173984274403971",0.0173984274403971
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Sales Occupations","2020",2020-01-01,1,"0.0258763203364327",0.0258763203364327
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Engineering And Technology Associate Professionals","2020",2020-01-01,1,"0.0226650235000754",0.0226650235000754
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Research, Engineering And Technology Professionals","2020",2020-01-01,1,"0.0265519880584149",0.0265519880584149
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Secretarial And Related Occupations","2020",2020-01-01,1,"0.0265346680824337",0.0265346680824337
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Agricultural And Related Trades","2020",2020-01-01,1,"0.0284601158418663",0.0284601158418663
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Construction And Building Trades","2020",2020-01-01,1,"0.0240801451636186",0.0240801451636186
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Metal, Electrical And Electronic Trades","2020",2020-01-01,1,"0.0213366720830213",0.0213366720830213
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Teaching And Other Educational Professionals","2020",2020-01-01,1,"0.0284234610403469",0.0284234610403469
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Textiles, Printing And Other Skilled Trades","2020",2020-01-01,1,"0.0261957071395735",0.0261957071395735
"Cornwall and the Isles of Scilly LSIP","replacementDemand","Occupation (SOC2020 submajor)","Transport And Mobile Machine Drivers And Operatives","2020",2020-01-01,1,"0.0293349794771884",0.0293349794771884
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Administrative Occupations","2020",2020-01-01,1,"0.027555214688364",0.027555214688364
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business And Public Service Associate Professionals","2020",2020-01-01,1,"0.0256670537178507",0.0256670537178507
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business, Media And Public Service Professionals","2020",2020-01-01,1,"0.0276259704998632",0.0276259704998632
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Caring Personal Service Occupations","2020",2020-01-01,1,"0.0320523780811115",0.0320523780811115
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Community And Civil Enforcement Occupations","2020",2020-01-01,1,"0.0203241670993282",0.0203241670993282
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Corporate Managers And Directors","2020",2020-01-01,1,"0.0257505041675448",0.0257505041675448
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Culture, Media And Sports Occupations","2020",2020-01-01,1,"0.0227948226161543",0.0227948226161543
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Customer Service Occupations","2020",2020-01-01,1,"0.0280307273962581",0.0280307273962581
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Administration And Service Occupations","2020",2020-01-01,1,"0.0249210818650722",0.0249210818650722
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Trades And Related Occupations","2020",2020-01-01,1,"0.0391169388311103",0.0391169388311103
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health And Social Care Associate Professionals","2020",2020-01-01,1,"0.0454908723412841",0.0454908723412841
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health Professionals","2020",2020-01-01,1,"0.0288171921362479",0.0288171921362479
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Leisure, Travel And Related Personal Service Occupations","2020",2020-01-01,1,"0.0255228572491741",0.0255228572491741
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Other Managers And Proprietors","2020",2020-01-01,1,"0.0312941694067994",0.0312941694067994
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Process, Plant And Machine Operatives","2020",2020-01-01,1,"0.0210024264995297",0.0210024264995297
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Protective Service Occupations","2020",2020-01-01,1,"0.0163670634055419",0.0163670634055419
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Sales Occupations","2020",2020-01-01,1,"0.0256741661861983",0.0256741661861983
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Engineering And Technology Associate Professionals","2020",2020-01-01,1,"0.0213487296129116",0.0213487296129116
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Research, Engineering And Technology Professionals","2020",2020-01-01,1,"0.0249877859824892",0.0249877859824892
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Secretarial And Related Occupations","2020",2020-01-01,1,"0.025071886563534",0.025071886563534
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Agricultural And Related Trades","2020",2020-01-01,1,"0.0297787885560561",0.0297787885560561
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Construction And Building Trades","2020",2020-01-01,1,"0.0220456941341456",0.0220456941341456
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Metal, Electrical And Electronic Trades","2020",2020-01-01,1,"0.019621645447726",0.019621645447726
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Teaching And Other Educational Professionals","2020",2020-01-01,1,"0.0289310953154427",0.0289310953154427
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Textiles, Printing And Other Skilled Trades","2020",2020-01-01,1,"0.0241761876849647",0.0241761876849647
"Cumbria LSIP","replacementDemand","Occupation (SOC2020 submajor)","Transport And Mobile Machine Drivers And Operatives","2020",2020-01-01,1,"0.0282325248574782",0.0282325248574782
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Administrative Occupations","2020",2020-01-01,1,"0.0278865629236771",0.0278865629236771
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business And Public Service Associate Professionals","2020",2020-01-01,1,"0.0255546915483515",0.0255546915483515
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business, Media And Public Service Professionals","2020",2020-01-01,1,"0.0280366289025817",0.0280366289025817
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Caring Personal Service Occupations","2020",2020-01-01,1,"0.0313529046960768",0.0313529046960768
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Community And Civil Enforcement Occupations","2020",2020-01-01,1,"0.0215218339000731",0.0215218339000731
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Corporate Managers And Directors","2020",2020-01-01,1,"0.0259711370732703",0.0259711370732703
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Culture, Media And Sports Occupations","2020",2020-01-01,1,"0.0226663042208157",0.0226663042208157
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Customer Service Occupations","2020",2020-01-01,1,"0.0283637766163216",0.0283637766163216
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Administration And Service Occupations","2020",2020-01-01,1,"0.0226295625339406",0.0226295625339406
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Trades And Related Occupations","2020",2020-01-01,1,"0.0400329116874214",0.0400329116874214
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health And Social Care Associate Professionals","2020",2020-01-01,1,"0.0450214549174484",0.0450214549174484
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health Professionals","2020",2020-01-01,1,"0.0286833637512578",0.0286833637512578
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Leisure, Travel And Related Personal Service Occupations","2020",2020-01-01,1,"0.0262360875676324",0.0262360875676324
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Other Managers And Proprietors","2020",2020-01-01,1,"0.030163323483583",0.030163323483583
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Process, Plant And Machine Operatives","2020",2020-01-01,1,"0.0224693451243427",0.0224693451243427
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Protective Service Occupations","2020",2020-01-01,1,"0.0170575799856718",0.0170575799856718
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Sales Occupations","2020",2020-01-01,1,"0.0252373567205193",0.0252373567205193
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Engineering And Technology Associate Professionals","2020",2020-01-01,1,"0.0218557686855332",0.0218557686855332
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Research, Engineering And Technology Professionals","2020",2020-01-01,1,"0.0254787767270421",0.0254787767270421
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Secretarial And Related Occupations","2020",2020-01-01,1,"0.0250035739729981",0.0250035739729981
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Agricultural And Related Trades","2020",2020-01-01,1,"0.0283279360504625",0.0283279360504625
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Construction And Building Trades","2020",2020-01-01,1,"0.021687359978543",0.021687359978543
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Metal, Electrical And Electronic Trades","2020",2020-01-01,1,"0.0205122081749696",0.0205122081749696
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Teaching And Other Educational Professionals","2020",2020-01-01,1,"0.0253344034636973",0.0253344034636973
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Textiles, Printing And Other Skilled Trades","2020",2020-01-01,1,"0.0231275531049833",0.0231275531049833
"Derbyshire and Nottinghamshire LSIP","replacementDemand","Occupation (SOC2020 submajor)","Transport And Mobile Machine Drivers And Operatives","2020",2020-01-01,1,"0.0280070522037763",0.0280070522037763
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Administrative Occupations","2020",2020-01-01,1,"0.0277788529702581",0.0277788529702581
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business And Public Service Associate Professionals","2020",2020-01-01,1,"0.0263378141934334",0.0263378141934334
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business, Media And Public Service Professionals","2020",2020-01-01,1,"0.0281033862153208",0.0281033862153208
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Caring Personal Service Occupations","2020",2020-01-01,1,"0.0318240915972143",0.0318240915972143
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Community And Civil Enforcement Occupations","2020",2020-01-01,1,"0.0223852312476494",0.0223852312476494
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Corporate Managers And Directors","2020",2020-01-01,1,"0.0268036935358846",0.0268036935358846
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Culture, Media And Sports Occupations","2020",2020-01-01,1,"0.0250323422127716",0.0250323422127716
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Customer Service Occupations","2020",2020-01-01,1,"0.0282919338484902",0.0282919338484902
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Administration And Service Occupations","2020",2020-01-01,1,"0.0245884741658804",0.0245884741658804
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Trades And Related Occupations","2020",2020-01-01,1,"0.0399450173364866",0.0399450173364866
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health And Social Care Associate Professionals","2020",2020-01-01,1,"0.0447750750842624",0.0447750750842624
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health Professionals","2020",2020-01-01,1,"0.0292402274862278",0.0292402274862278
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Leisure, Travel And Related Personal Service Occupations","2020",2020-01-01,1,"0.0270489299688232",0.0270489299688232
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Other Managers And Proprietors","2020",2020-01-01,1,"0.0326140630255967",0.0326140630255967
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Process, Plant And Machine Operatives","2020",2020-01-01,1,"0.0225894386738792",0.0225894386738792
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Protective Service Occupations","2020",2020-01-01,1,"0.0178967994627546",0.0178967994627546
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Sales Occupations","2020",2020-01-01,1,"0.0242827241154924",0.0242827241154924
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Engineering And Technology Associate Professionals","2020",2020-01-01,1,"0.0228753652784759",0.0228753652784759
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Research, Engineering And Technology Professionals","2020",2020-01-01,1,"0.0262297441954733",0.0262297441954733
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Secretarial And Related Occupations","2020",2020-01-01,1,"0.0252472531160024",0.0252472531160024
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Agricultural And Related Trades","2020",2020-01-01,1,"0.0319190398833349",0.0319190398833349
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Construction And Building Trades","2020",2020-01-01,1,"0.0237998809593956",0.0237998809593956
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Metal, Electrical And Electronic Trades","2020",2020-01-01,1,"0.0220317902123566",0.0220317902123566
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Teaching And Other Educational Professionals","2020",2020-01-01,1,"0.0281524205516859",0.0281524205516859
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Textiles, Printing And Other Skilled Trades","2020",2020-01-01,1,"0.0261010352956805",0.0261010352956805
"Dorset LSIP","replacementDemand","Occupation (SOC2020 submajor)","Transport And Mobile Machine Drivers And Operatives","2020",2020-01-01,1,"0.0288780896892884",0.0288780896892884
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Administrative Occupations","2020",2020-01-01,1,"0.0276681537086736",0.0276681537086736
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business And Public Service Associate Professionals","2020",2020-01-01,1,"0.0263210733428723",0.0263210733428723
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Business, Media And Public Service Professionals","2020",2020-01-01,1,"0.0279263637374734",0.0279263637374734
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Caring Personal Service Occupations","2020",2020-01-01,1,"0.0311145255337839",0.0311145255337839
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Community And Civil Enforcement Occupations","2020",2020-01-01,1,"0.021555232848854",0.021555232848854
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Corporate Managers And Directors","2020",2020-01-01,1,"0.0268261858107219",0.0268261858107219
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Culture, Media And Sports Occupations","2020",2020-01-01,1,"0.0248162436029402",0.0248162436029402
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Customer Service Occupations","2020",2020-01-01,1,"0.0280909561365825",0.0280909561365825
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Administration And Service Occupations","2020",2020-01-01,1,"0.0240375509187989",0.0240375509187989
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Elementary Trades And Related Occupations","2020",2020-01-01,1,"0.0397265945802503",0.0397265945802503
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health And Social Care Associate Professionals","2020",2020-01-01,1,"0.0437970907550613",0.0437970907550613
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Health Professionals","2020",2020-01-01,1,"0.0285729741845731",0.0285729741845731
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Leisure, Travel And Related Personal Service Occupations","2020",2020-01-01,1,"0.0265990159598302",0.0265990159598302
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Other Managers And Proprietors","2020",2020-01-01,1,"0.0326824863455515",0.0326824863455515
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Process, Plant And Machine Operatives","2020",2020-01-01,1,"0.0228450601301091",0.0228450601301091
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Protective Service Occupations","2020",2020-01-01,1,"0.0178965540466023",0.0178965540466023
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Sales Occupations","2020",2020-01-01,1,"0.0243699376549236",0.0243699376549236
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Engineering And Technology Associate Professionals","2020",2020-01-01,1,"0.0229844807821411",0.0229844807821411
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Science, Research, Engineering And Technology Professionals","2020",2020-01-01,1,"0.0262884964865349",0.0262884964865349
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Secretarial And Related Occupations","2020",2020-01-01,1,"0.024787508870155",0.024787508870155
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Agricultural And Related Trades","2020",2020-01-01,1,"0.0322775517395217",0.0322775517395217
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Construction And Building Trades","2020",2020-01-01,1,"0.0235926637560879",0.0235926637560879
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Skilled Metal, Electrical And Electronic Trades","2020",2020-01-01,1,"0.0222042532798996",0.0222042532798996
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Teaching And Other Educational Professionals","2020",2020-01-01,1,"0.0279115359180797",0.0279115359180797
"Enterprise M3 LEP (including all of Surrey) LSIP","replacementDemand","Occupation (SOC2020 submajor)","Textiles, Printing And Other Skilled Trades","2020",2020-01-01,1,"0.0268212225984366",0.0268212225984366
