"area","geographic_level","time_period","all_unknown","all_notsust","cohort","appren","education","all_work"
"Sheffield City Region","LEP",201617,"85","848","13446","885","11092","536"
"Sheffield City Region","LEP",201718,"85","821","12954","782","10672","594"
"Sheffield City Region","LEP",201819,"109","780","12817","763","10608","557"
"Sheffield City Region","LEP",201920,"86","915","13176","712","10928","535"
"Solent","LEP",201516,"78","641","11358","592","9624","423"
"Solent","LEP",201617,"106","654","10955","591","9141","463"
"Solent","LEP",201718,"67","558","10602","510","9027","440"
"Solent","LEP",201819,"74","616","10235","481","8653","411"
"Solent","LEP",201920,"92","661","10639","438","8980","468"
"South East","LEP",201516,"224","2163","42688","1779","37294","1228"
"South East","LEP",201617,"265","2033","41106","1706","35786","1316"
"South East","LEP",201718,"294","1894","40356","1486","35306","1376"
"South East","LEP",201819,"306","1949","39880","1436","34851","1338"
"South East","LEP",201920,"330","2059","41133","1307","36121","1316"
"South East Midlands","LEP",201516,"138","903","17427","745","15099","542"
"South East Midlands","LEP",201617,"143","893","17046","751","14691","568"
"South East Midlands","LEP",201718,"147","781","16654","691","14451","584"
"South East Midlands","LEP",201819,"154","795","16733","620","14552","612"
"South East Midlands","LEP",201920,"178","737","17269","532","15233","589"
"Stoke-on-Trent and Staffordshire","LEP",201516,"24","479","11101","684","9520","394"
"Stoke-on-Trent and Staffordshire","LEP",201617,"47","467","10772","739","9123","396"
"Stoke-on-Trent and Staffordshire","LEP",201718,"74","463","10353","675","8795","346"
"Stoke-on-Trent and Staffordshire","LEP",201819,"75","439","10166","641","8555","456"
"Stoke-on-Trent and Staffordshire","LEP",201920,"66","575","10573","570","8880","482"
"Swindon and Wiltshire","LEP",201516,"38","268","7127","264","6369","188"
"Swindon and Wiltshire","LEP",201617,"28","246","6881","317","6096","194"
"Swindon and Wiltshire","LEP",201718,"65","264","6638","232","5882","195"
"Swindon and Wiltshire","LEP",201819,"54","242","6513","242","5784","191"
"Swindon and Wiltshire","LEP",201920,"75","248","6789","233","6021","212"
"Tees Valley","LEP",201516,"29","543","7312","432","6108","200"
"Tees Valley","LEP",201617,"47","538","7093","402","5897","209"
"Tees Valley","LEP",201718,"40","460","6718","344","5635","239"
"Tees Valley","LEP",201819,"43","519","6721","342","5602","215"
"Tees Valley","LEP",201920,"34","509","6894","304","5801","246"
"Thames Valley Berkshire","LEP",201516,"58","261","8844","307","8014","204"
"Thames Valley Berkshire","LEP",201617,"75","306","8728","340","7795","212"
"Thames Valley Berkshire","LEP",201718,"78","270","8738","284","7842","264"
"Thames Valley Berkshire","LEP",201819,"74","303","8527","254","7655","241"
"Thames Valley Berkshire","LEP",201920,"81","314","9053","247","8154","257"
"The Marches","LEP",201516,"55","331","6805","362","5791","266"
"The Marches","LEP",201617,"52","313","6614","341","5653","255"
"The Marches","LEP",201718,"45","318","6236","297","5365","211"
"The Marches","LEP",201819,"65","294","6279","307","5358","255"
"The Marches","LEP",201920,"98","338","6451","301","5451","263"
"West of England","LEP",201516,"69","516","10104","580","8656","283"
"West of England","LEP",201617,"77","501","9896","587","8355","376"
"West of England","LEP",201718,"89","469","9728","527","8278","365"
"West of England","LEP",201819,"65","440","9581","495","8236","345"
"West of England","LEP",201920,"111","483","10009","492","8603","320"
"Worcestershire","LEP",201516,"30","212","5583","291","4842","208"
"Worcestershire","LEP",201617,"31","226","5467","299","4734","177"
"Worcestershire","LEP",201718,"32","204","5246","272","4541","197"
"Worcestershire","LEP",201819,"27","193","5143","269","4465","189"
"Worcestershire","LEP",201920,"50","243","5336","229","4616","198"
"York and North Yorkshire","LEP",201516,"37","291","8063","477","7020","238"
"York and North Yorkshire","LEP",201617,"49","274","7674","447","6696","208"
"York and North Yorkshire","LEP",201718,"36","286","7428","418","6446","242"
