"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"Buckinghamshire ","LSIP",201617,NA,"Education and training: Total",3810,16,"Education and training (adults only)","16/17"
"Buckinghamshire ","LSIP",201617,NA,"Further education and skills: Total",9730,16,"Total FE and skills provision","16/17"
"Cambridgeshire and Peterborough","LSIP",201617,NA,"Apprenticeships: Total",3210,16,"Apprenticeships (all ages)","16/17"
"Cambridgeshire and Peterborough","LSIP",201617,NA,"Community learning: Total",8390,16,"Community learning (adults only)","16/17"
"Cambridgeshire and Peterborough","LSIP",201617,NA,"Education and training: Total",8120,16,"Education and training (adults only)","16/17"
"Cambridgeshire and Peterborough","LSIP",201617,NA,"Further education and skills: Total",19680,16,"Total FE and skills provision","16/17"
"Cheshire and Warrington","LSIP",201617,NA,"Apprenticeships: Total",4870,16,"Apprenticeships (all ages)","16/17"
"Cheshire and Warrington","LSIP",201617,NA,"Community learning: Total",7530,16,"Community learning (adults only)","16/17"
"Cheshire and Warrington","LSIP",201617,NA,"Education and training: Total",11610,16,"Education and training (adults only)","16/17"
"Cheshire and Warrington","LSIP",201617,NA,"Further education and skills: Total",23940,16,"Total FE and skills provision","16/17"
"Cornwall and the Isles of Scilly","LSIP",201617,NA,"Apprenticeships: Total",3480,16,"Apprenticeships (all ages)","16/17"
"Cornwall and the Isles of Scilly","LSIP",201617,NA,"Community learning: Total",4550,16,"Community learning (adults only)","16/17"
"Cornwall and the Isles of Scilly","LSIP",201617,NA,"Education and training: Total",7360,16,"Education and training (adults only)","16/17"
"Cornwall and the Isles of Scilly","LSIP",201617,NA,"Further education and skills: Total",15580,16,"Total FE and skills provision","16/17"
"Cumbria","LSIP",201617,NA,"Apprenticeships: Total",3300,16,"Apprenticeships (all ages)","16/17"
"Cumbria","LSIP",201617,NA,"Community learning: Total",3780,16,"Community learning (adults only)","16/17"
"Cumbria","LSIP",201617,NA,"Education and training: Total",5740,16,"Education and training (adults only)","16/17"
"Cumbria","LSIP",201617,NA,"Further education and skills: Total",13300,16,"Total FE and skills provision","16/17"
"Derbyshire and Nottinghamshire","LSIP",201617,NA,"Apprenticeships: Total",13230,16,"Apprenticeships (all ages)","16/17"
"Derbyshire and Nottinghamshire","LSIP",201617,NA,"Community learning: Total",20090,16,"Community learning (adults only)","16/17"
"Derbyshire and Nottinghamshire","LSIP",201617,NA,"Education and training: Total",32700,16,"Education and training (adults only)","16/17"
"Derbyshire and Nottinghamshire","LSIP",201617,NA,"Further education and skills: Total",65520,16,"Total FE and skills provision","16/17"
"Dorset","LSIP",201617,NA,"Apprenticeships: Total",8190,16,"Apprenticeships (all ages)","16/17"
"Dorset","LSIP",201617,NA,"Community learning: Total",8630,16,"Community learning (adults only)","16/17"
"Dorset","LSIP",201617,NA,"Education and training: Total",13220,16,"Education and training (adults only)","16/17"
"Dorset","LSIP",201617,NA,"Further education and skills: Total",31120,16,"Total FE and skills provision","16/17"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201617,NA,"Apprenticeships: Total",3200,16,"Apprenticeships (all ages)","16/17"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201617,NA,"Community learning: Total",12170,16,"Community learning (adults only)","16/17"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201617,NA,"Education and training: Total",8460,16,"Education and training (adults only)","16/17"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201617,NA,"Further education and skills: Total",23830,16,"Total FE and skills provision","16/17"
"Essex, Southend-on-Sea and Thurrock","LSIP",201617,NA,"Apprenticeships: Total",7900,16,"Apprenticeships (all ages)","16/17"
"Essex, Southend-on-Sea and Thurrock","LSIP",201617,NA,"Community learning: Total",12270,16,"Community learning (adults only)","16/17"
"Essex, Southend-on-Sea and Thurrock","LSIP",201617,NA,"Education and training: Total",18150,16,"Education and training (adults only)","16/17"
"Essex, Southend-on-Sea and Thurrock","LSIP",201617,NA,"Further education and skills: Total",38160,16,"Total FE and skills provision","16/17"
"Gloucestershire","LSIP",201617,NA,"Apprenticeships: Total",2890,16,"Apprenticeships (all ages)","16/17"
"Gloucestershire","LSIP",201617,NA,"Community learning: Total",1970,16,"Community learning (adults only)","16/17"
"Gloucestershire","LSIP",201617,NA,"Education and training: Total",6570,16,"Education and training (adults only)","16/17"
"Gloucestershire","LSIP",201617,NA,"Further education and skills: Total",11710,16,"Total FE and skills provision","16/17"
"Greater Lincolnshire","LSIP",201617,NA,"Apprenticeships: Total",6180,16,"Apprenticeships (all ages)","16/17"
"Greater Lincolnshire","LSIP",201617,NA,"Community learning: Total",10730,16,"Community learning (adults only)","16/17"
"Greater Lincolnshire","LSIP",201617,NA,"Education and training: Total",16600,16,"Education and training (adults only)","16/17"
"Greater Lincolnshire","LSIP",201617,NA,"Further education and skills: Total",32860,16,"Total FE and skills provision","16/17"
"Greater London","LSIP",201617,NA,"Apprenticeships: Total",23830,16,"Apprenticeships (all ages)","16/17"
"Greater London","LSIP",201617,NA,"Community learning: Total",97820,16,"Community learning (adults only)","16/17"
"Greater London","LSIP",201617,NA,"Education and training: Total",163060,16,"Education and training (adults only)","16/17"
"Greater London","LSIP",201617,NA,"Further education and skills: Total",279340,16,"Total FE and skills provision","16/17"
"Greater Manchester","LSIP",201617,NA,"Apprenticeships: Total",16280,16,"Apprenticeships (all ages)","16/17"
"Greater Manchester","LSIP",201617,NA,"Community learning: Total",25060,16,"Community learning (adults only)","16/17"
"Greater Manchester","LSIP",201617,NA,"Education and training: Total",48930,16,"Education and training (adults only)","16/17"
"Greater Manchester","LSIP",201617,NA,"Further education and skills: Total",86980,16,"Total FE and skills provision","16/17"
"Heart of the South-West","LSIP",201617,NA,"Apprenticeships: Total",10320,16,"Apprenticeships (all ages)","16/17"
"Heart of the South-West","LSIP",201617,NA,"Community learning: Total",14630,16,"Community learning (adults only)","16/17"
"Heart of the South-West","LSIP",201617,NA,"Education and training: Total",25400,16,"Education and training (adults only)","16/17"
"Heart of the South-West","LSIP",201617,NA,"Further education and skills: Total",50410,16,"Total FE and skills provision","16/17"
"Hertfordshire","LSIP",201617,NA,"Apprenticeships: Total",3860,16,"Apprenticeships (all ages)","16/17"
"Hertfordshire","LSIP",201617,NA,"Community learning: Total",6590,16,"Community learning (adults only)","16/17"
"Hertfordshire","LSIP",201617,NA,"Education and training: Total",9200,16,"Education and training (adults only)","16/17"
"Hertfordshire","LSIP",201617,NA,"Further education and skills: Total",19620,16,"Total FE and skills provision","16/17"
"Hull and East Yorkshire","LSIP",201617,NA,"Apprenticeships: Total",4530,16,"Apprenticeships (all ages)","16/17"
"Hull and East Yorkshire","LSIP",201617,NA,"Community learning: Total",4350,16,"Community learning (adults only)","16/17"
"Hull and East Yorkshire","LSIP",201617,NA,"Education and training: Total",13280,16,"Education and training (adults only)","16/17"
"Hull and East Yorkshire","LSIP",201617,NA,"Further education and skills: Total",22290,16,"Total FE and skills provision","16/17"
"Kent and Medway","LSIP",201617,NA,"Apprenticeships: Total",7000,16,"Apprenticeships (all ages)","16/17"
"Kent and Medway","LSIP",201617,NA,"Community learning: Total",15700,16,"Community learning (adults only)","16/17"
"Kent and Medway","LSIP",201617,NA,"Education and training: Total",22140,16,"Education and training (adults only)","16/17"
"Kent and Medway","LSIP",201617,NA,"Further education and skills: Total",45470,16,"Total FE and skills provision","16/17"
"Lancashire","LSIP",201617,NA,"Apprenticeships: Total",9320,16,"Apprenticeships (all ages)","16/17"
"Lancashire","LSIP",201617,NA,"Community learning: Total",16500,16,"Community learning (adults only)","16/17"
"Lancashire","LSIP",201617,NA,"Education and training: Total",28160,16,"Education and training (adults only)","16/17"
"Lancashire","LSIP",201617,NA,"Further education and skills: Total",53480,16,"Total FE and skills provision","16/17"
"Leicester and Leicestershire","LSIP",201617,NA,"Apprenticeships: Total",5060,16,"Apprenticeships (all ages)","16/17"
"Leicester and Leicestershire","LSIP",201617,NA,"Community learning: Total",7250,16,"Community learning (adults only)","16/17"
"Leicester and Leicestershire","LSIP",201617,NA,"Education and training: Total",15430,16,"Education and training (adults only)","16/17"
"Leicester and Leicestershire","LSIP",201617,NA,"Further education and skills: Total",27650,16,"Total FE and skills provision","16/17"
"Liverpool City Region","LSIP",201617,NA,"Apprenticeships: Total",9540,16,"Apprenticeships (all ages)","16/17"
"Liverpool City Region","LSIP",201617,NA,"Community learning: Total",19140,16,"Community learning (adults only)","16/17"
"Liverpool City Region","LSIP",201617,NA,"Education and training: Total",29670,16,"Education and training (adults only)","16/17"
"Liverpool City Region","LSIP",201617,NA,"Further education and skills: Total",56680,16,"Total FE and skills provision","16/17"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201617,NA,"Apprenticeships: Total",7700,16,"Apprenticeships (all ages)","16/17"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201617,NA,"Community learning: Total",8820,16,"Community learning (adults only)","16/17"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201617,NA,"Education and training: Total",15950,16,"Education and training (adults only)","16/17"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201617,NA,"Further education and skills: Total",32360,16,"Total FE and skills provision","16/17"
"North East","LSIP",201617,NA,"Apprenticeships: Total",10470,16,"Apprenticeships (all ages)","16/17"
"North East","LSIP",201617,NA,"Community learning: Total",12440,16,"Community learning (adults only)","16/17"
"North East","LSIP",201617,NA,"Education and training: Total",32560,16,"Education and training (adults only)","16/17"
"North East","LSIP",201617,NA,"Further education and skills: Total",54900,16,"Total FE and skills provision","16/17"
"North of Tyne","LSIP",201617,NA,"Apprenticeships: Total",5280,16,"Apprenticeships (all ages)","16/17"
"North of Tyne","LSIP",201617,NA,"Community learning: Total",5310,16,"Community learning (adults only)","16/17"
"North of Tyne","LSIP",201617,NA,"Education and training: Total",17030,16,"Education and training (adults only)","16/17"
"North of Tyne","LSIP",201617,NA,"Further education and skills: Total",26850,16,"Total FE and skills provision","16/17"
"Oxfordshire","LSIP",201617,NA,"Apprenticeships: Total",2500,16,"Apprenticeships (all ages)","16/17"
"Oxfordshire","LSIP",201617,NA,"Community learning: Total",5900,16,"Community learning (adults only)","16/17"
"Oxfordshire","LSIP",201617,NA,"Education and training: Total",5110,16,"Education and training (adults only)","16/17"
"Oxfordshire","LSIP",201617,NA,"Further education and skills: Total",13230,16,"Total FE and skills provision","16/17"
"Solent","LSIP",201617,NA,"Apprenticeships: Total",8040,16,"Apprenticeships (all ages)","16/17"
"Solent","LSIP",201617,NA,"Community learning: Total",9500,16,"Community learning (adults only)","16/17"
"Solent","LSIP",201617,NA,"Education and training: Total",14260,16,"Education and training (adults only)","16/17"
"Solent","LSIP",201617,NA,"Further education and skills: Total",33060,16,"Total FE and skills provision","16/17"
"South East Midlands","LSIP",201617,NA,"Apprenticeships: Total",7410,16,"Apprenticeships (all ages)","16/17"
"South East Midlands","LSIP",201617,NA,"Community learning: Total",9800,16,"Community learning (adults only)","16/17"
"South East Midlands","LSIP",201617,NA,"Education and training: Total",22160,16,"Education and training (adults only)","16/17"
"South East Midlands","LSIP",201617,NA,"Further education and skills: Total",39170,16,"Total FE and skills provision","16/17"
"South Yorkshire","LSIP",201617,NA,"Apprenticeships: Total",8920,16,"Apprenticeships (all ages)","16/17"
"South Yorkshire","LSIP",201617,NA,"Community learning: Total",5790,16,"Community learning (adults only)","16/17"
"South Yorkshire","LSIP",201617,NA,"Education and training: Total",25440,16,"Education and training (adults only)","16/17"
"South Yorkshire","LSIP",201617,NA,"Further education and skills: Total",40250,16,"Total FE and skills provision","16/17"
"Stoke-on-Trent and Staffordshire","LSIP",201617,NA,"Apprenticeships: Total",7440,16,"Apprenticeships (all ages)","16/17"
"Stoke-on-Trent and Staffordshire","LSIP",201617,NA,"Community learning: Total",8330,16,"Community learning (adults only)","16/17"
"Stoke-on-Trent and Staffordshire","LSIP",201617,NA,"Education and training: Total",14460,16,"Education and training (adults only)","16/17"
"Stoke-on-Trent and Staffordshire","LSIP",201617,NA,"Further education and skills: Total",30150,16,"Total FE and skills provision","16/17"
"Swindon and Wiltshire","LSIP",201617,NA,"Apprenticeships: Total",4280,16,"Apprenticeships (all ages)","16/17"
"Swindon and Wiltshire","LSIP",201617,NA,"Community learning: Total",2720,16,"Community learning (adults only)","16/17"
"Swindon and Wiltshire","LSIP",201617,NA,"Education and training: Total",7080,16,"Education and training (adults only)","16/17"
"Swindon and Wiltshire","LSIP",201617,NA,"Further education and skills: Total",15150,16,"Total FE and skills provision","16/17"
"Tees Valley","LSIP",201617,NA,"Apprenticeships: Total",5540,16,"Apprenticeships (all ages)","16/17"
"Tees Valley","LSIP",201617,NA,"Community learning: Total",8020,16,"Community learning (adults only)","16/17"
"Tees Valley","LSIP",201617,NA,"Education and training: Total",21990,16,"Education and training (adults only)","16/17"
"Tees Valley","LSIP",201617,NA,"Further education and skills: Total",34350,16,"Total FE and skills provision","16/17"
"Thames Valley Berkshire","LSIP",201617,NA,"Apprenticeships: Total",3210,16,"Apprenticeships (all ages)","16/17"
"Thames Valley Berkshire","LSIP",201617,NA,"Community learning: Total",10360,16,"Community learning (adults only)","16/17"
"Thames Valley Berkshire","LSIP",201617,NA,"Education and training: Total",8840,16,"Education and training (adults only)","16/17"
"Thames Valley Berkshire","LSIP",201617,NA,"Further education and skills: Total",22180,16,"Total FE and skills provision","16/17"
"The Marches","LSIP",201617,NA,"Apprenticeships: Total",4300,16,"Apprenticeships (all ages)","16/17"
"The Marches","LSIP",201617,NA,"Community learning: Total",3540,16,"Community learning (adults only)","16/17"
"The Marches","LSIP",201617,NA,"Education and training: Total",9000,16,"Education and training (adults only)","16/17"
"The Marches","LSIP",201617,NA,"Further education and skills: Total",17500,16,"Total FE and skills provision","16/17"
"West Midlands and Warwickshire","LSIP",201617,NA,"Apprenticeships: Total",18620,16,"Apprenticeships (all ages)","16/17"
"West Midlands and Warwickshire","LSIP",201617,NA,"Community learning: Total",24590,16,"Community learning (adults only)","16/17"
"West Midlands and Warwickshire","LSIP",201617,NA,"Education and training: Total",67890,16,"Education and training (adults only)","16/17"
"West Midlands and Warwickshire","LSIP",201617,NA,"Further education and skills: Total",108240,16,"Total FE and skills provision","16/17"
"West of England (inc North Somerset)","LSIP",201617,NA,"Apprenticeships: Total",4870,16,"Apprenticeships (all ages)","16/17"
"West of England (inc North Somerset)","LSIP",201617,NA,"Community learning: Total",4060,16,"Community learning (adults only)","16/17"
"West of England (inc North Somerset)","LSIP",201617,NA,"Education and training: Total",14950,16,"Education and training (adults only)","16/17"
"West of England (inc North Somerset)","LSIP",201617,NA,"Further education and skills: Total",24220,16,"Total FE and skills provision","16/17"
"West Yorkshire","LSIP",201617,NA,"Apprenticeships: Total",13120,16,"Apprenticeships (all ages)","16/17"
"West Yorkshire","LSIP",201617,NA,"Community learning: Total",17000,16,"Community learning (adults only)","16/17"
"West Yorkshire","LSIP",201617,NA,"Education and training: Total",40790,16,"Education and training (adults only)","16/17"
"West Yorkshire","LSIP",201617,NA,"Further education and skills: Total",70440,16,"Total FE and skills provision","16/17"
"Worcestershire","LSIP",201617,NA,"Apprenticeships: Total",3000,16,"Apprenticeships (all ages)","16/17"
"Worcestershire","LSIP",201617,NA,"Community learning: Total",3080,16,"Community learning (adults only)","16/17"
"Worcestershire","LSIP",201617,NA,"Education and training: Total",6230,16,"Education and training (adults only)","16/17"
"Worcestershire","LSIP",201617,NA,"Further education and skills: Total",12420,16,"Total FE and skills provision","16/17"
"York and North Yorkshire","LSIP",201617,NA,"Apprenticeships: Total",6480,16,"Apprenticeships (all ages)","16/17"
"York and North Yorkshire","LSIP",201617,NA,"Community learning: Total",5460,16,"Community learning (adults only)","16/17"
"York and North Yorkshire","LSIP",201617,NA,"Education and training: Total",7450,16,"Education and training (adults only)","16/17"
"York and North Yorkshire","LSIP",201617,NA,"Further education and skills: Total",19330,16,"Total FE and skills provision","16/17"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,NA,"Apprenticeships: Total",6290,17,"Apprenticeships (all ages)","17/18"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,NA,"Community learning: Total",7250,17,"Community learning (adults only)","17/18"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,NA,"Education and training: Total",17860,17,"Education and training (adults only)","17/18"
"Brighton and Hove, East Sussex, West Sussex","LSIP",201718,NA,"Further education and skills: Total",32000,17,"Total FE and skills provision","17/18"
"Buckinghamshire ","LSIP",201718,NA,"Apprenticeships: Total",1590,17,"Apprenticeships (all ages)","17/18"
"Buckinghamshire ","LSIP",201718,NA,"Community learning: Total",4040,17,"Community learning (adults only)","17/18"
"Buckinghamshire ","LSIP",201718,NA,"Education and training: Total",3940,17,"Education and training (adults only)","17/18"
"Buckinghamshire ","LSIP",201718,NA,"Further education and skills: Total",9390,17,"Total FE and skills provision","17/18"
"Cambridgeshire and Peterborough","LSIP",201718,NA,"Apprenticeships: Total",3300,17,"Apprenticeships (all ages)","17/18"
"Cambridgeshire and Peterborough","LSIP",201718,NA,"Community learning: Total",8740,17,"Community learning (adults only)","17/18"
"Cambridgeshire and Peterborough","LSIP",201718,NA,"Education and training: Total",8180,17,"Education and training (adults only)","17/18"
"Cambridgeshire and Peterborough","LSIP",201718,NA,"Further education and skills: Total",19760,17,"Total FE and skills provision","17/18"
"Cheshire and Warrington","LSIP",201718,NA,"Apprenticeships: Total",4950,17,"Apprenticeships (all ages)","17/18"
"Cheshire and Warrington","LSIP",201718,NA,"Community learning: Total",6940,17,"Community learning (adults only)","17/18"
"Cheshire and Warrington","LSIP",201718,NA,"Education and training: Total",11670,17,"Education and training (adults only)","17/18"
"Cheshire and Warrington","LSIP",201718,NA,"Further education and skills: Total",23290,17,"Total FE and skills provision","17/18"
"Cornwall and the Isles of Scilly","LSIP",201718,NA,"Apprenticeships: Total",3420,17,"Apprenticeships (all ages)","17/18"
"Cornwall and the Isles of Scilly","LSIP",201718,NA,"Community learning: Total",3920,17,"Community learning (adults only)","17/18"
"Cornwall and the Isles of Scilly","LSIP",201718,NA,"Education and training: Total",7810,17,"Education and training (adults only)","17/18"
"Cornwall and the Isles of Scilly","LSIP",201718,NA,"Further education and skills: Total",15500,17,"Total FE and skills provision","17/18"
"Cumbria","LSIP",201718,NA,"Apprenticeships: Total",3710,17,"Apprenticeships (all ages)","17/18"
"Cumbria","LSIP",201718,NA,"Community learning: Total",3130,17,"Community learning (adults only)","17/18"
"Cumbria","LSIP",201718,NA,"Education and training: Total",6550,17,"Education and training (adults only)","17/18"
"Cumbria","LSIP",201718,NA,"Further education and skills: Total",13540,17,"Total FE and skills provision","17/18"
"Derbyshire and Nottinghamshire","LSIP",201718,NA,"Apprenticeships: Total",13060,17,"Apprenticeships (all ages)","17/18"
"Derbyshire and Nottinghamshire","LSIP",201718,NA,"Community learning: Total",19750,17,"Community learning (adults only)","17/18"
"Derbyshire and Nottinghamshire","LSIP",201718,NA,"Education and training: Total",33690,17,"Education and training (adults only)","17/18"
"Derbyshire and Nottinghamshire","LSIP",201718,NA,"Further education and skills: Total",64850,17,"Total FE and skills provision","17/18"
"Dorset","LSIP",201718,NA,"Apprenticeships: Total",8240,17,"Apprenticeships (all ages)","17/18"
"Dorset","LSIP",201718,NA,"Community learning: Total",7810,17,"Community learning (adults only)","17/18"
"Dorset","LSIP",201718,NA,"Education and training: Total",13590,17,"Education and training (adults only)","17/18"
"Dorset","LSIP",201718,NA,"Further education and skills: Total",30560,17,"Total FE and skills provision","17/18"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201718,NA,"Apprenticeships: Total",3040,17,"Apprenticeships (all ages)","17/18"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201718,NA,"Community learning: Total",12020,17,"Community learning (adults only)","17/18"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201718,NA,"Education and training: Total",8800,17,"Education and training (adults only)","17/18"
"Enterprise M3 LEP (including all of Surrey)","LSIP",201718,NA,"Further education and skills: Total",23650,17,"Total FE and skills provision","17/18"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,NA,"Apprenticeships: Total",7510,17,"Apprenticeships (all ages)","17/18"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,NA,"Community learning: Total",11510,17,"Community learning (adults only)","17/18"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,NA,"Education and training: Total",19310,17,"Education and training (adults only)","17/18"
"Essex, Southend-on-Sea and Thurrock","LSIP",201718,NA,"Further education and skills: Total",37820,17,"Total FE and skills provision","17/18"
"Gloucestershire","LSIP",201718,NA,"Apprenticeships: Total",3000,17,"Apprenticeships (all ages)","17/18"
"Gloucestershire","LSIP",201718,NA,"Community learning: Total",2000,17,"Community learning (adults only)","17/18"
"Gloucestershire","LSIP",201718,NA,"Education and training: Total",6300,17,"Education and training (adults only)","17/18"
"Gloucestershire","LSIP",201718,NA,"Further education and skills: Total",11400,17,"Total FE and skills provision","17/18"
"Greater Lincolnshire","LSIP",201718,NA,"Apprenticeships: Total",5890,17,"Apprenticeships (all ages)","17/18"
"Greater Lincolnshire","LSIP",201718,NA,"Community learning: Total",8850,17,"Community learning (adults only)","17/18"
"Greater Lincolnshire","LSIP",201718,NA,"Education and training: Total",16820,17,"Education and training (adults only)","17/18"
"Greater Lincolnshire","LSIP",201718,NA,"Further education and skills: Total",30820,17,"Total FE and skills provision","17/18"
"Greater London","LSIP",201718,NA,"Apprenticeships: Total",23980,17,"Apprenticeships (all ages)","17/18"
"Greater London","LSIP",201718,NA,"Community learning: Total",98080,17,"Community learning (adults only)","17/18"
"Greater London","LSIP",201718,NA,"Education and training: Total",172420,17,"Education and training (adults only)","17/18"
"Greater London","LSIP",201718,NA,"Further education and skills: Total",285360,17,"Total FE and skills provision","17/18"
"Greater Manchester","LSIP",201718,NA,"Apprenticeships: Total",15630,17,"Apprenticeships (all ages)","17/18"
"Greater Manchester","LSIP",201718,NA,"Community learning: Total",20870,17,"Community learning (adults only)","17/18"
"Greater Manchester","LSIP",201718,NA,"Education and training: Total",53210,17,"Education and training (adults only)","17/18"
"Greater Manchester","LSIP",201718,NA,"Further education and skills: Total",85280,17,"Total FE and skills provision","17/18"
"Heart of the South-West","LSIP",201718,NA,"Apprenticeships: Total",10860,17,"Apprenticeships (all ages)","17/18"
"Heart of the South-West","LSIP",201718,NA,"Community learning: Total",10200,17,"Community learning (adults only)","17/18"
"Heart of the South-West","LSIP",201718,NA,"Education and training: Total",25110,17,"Education and training (adults only)","17/18"
"Heart of the South-West","LSIP",201718,NA,"Further education and skills: Total",46250,17,"Total FE and skills provision","17/18"
"Hertfordshire","LSIP",201718,NA,"Apprenticeships: Total",3510,17,"Apprenticeships (all ages)","17/18"
"Hertfordshire","LSIP",201718,NA,"Community learning: Total",5920,17,"Community learning (adults only)","17/18"
"Hertfordshire","LSIP",201718,NA,"Education and training: Total",9330,17,"Education and training (adults only)","17/18"
"Hertfordshire","LSIP",201718,NA,"Further education and skills: Total",18700,17,"Total FE and skills provision","17/18"
"Hull and East Yorkshire","LSIP",201718,NA,"Apprenticeships: Total",4880,17,"Apprenticeships (all ages)","17/18"
"Hull and East Yorkshire","LSIP",201718,NA,"Community learning: Total",3160,17,"Community learning (adults only)","17/18"
"Hull and East Yorkshire","LSIP",201718,NA,"Education and training: Total",13080,17,"Education and training (adults only)","17/18"
"Hull and East Yorkshire","LSIP",201718,NA,"Further education and skills: Total",21100,17,"Total FE and skills provision","17/18"
"Kent and Medway","LSIP",201718,NA,"Apprenticeships: Total",7170,17,"Apprenticeships (all ages)","17/18"
"Kent and Medway","LSIP",201718,NA,"Community learning: Total",14350,17,"Community learning (adults only)","17/18"
"Kent and Medway","LSIP",201718,NA,"Education and training: Total",23330,17,"Education and training (adults only)","17/18"
"Kent and Medway","LSIP",201718,NA,"Further education and skills: Total",45130,17,"Total FE and skills provision","17/18"
"Lancashire","LSIP",201718,NA,"Apprenticeships: Total",10020,17,"Apprenticeships (all ages)","17/18"
"Lancashire","LSIP",201718,NA,"Community learning: Total",18780,17,"Community learning (adults only)","17/18"
"Lancashire","LSIP",201718,NA,"Education and training: Total",29800,17,"Education and training (adults only)","17/18"
"Lancashire","LSIP",201718,NA,"Further education and skills: Total",56740,17,"Total FE and skills provision","17/18"
"Leicester and Leicestershire","LSIP",201718,NA,"Apprenticeships: Total",5270,17,"Apprenticeships (all ages)","17/18"
"Leicester and Leicestershire","LSIP",201718,NA,"Community learning: Total",6660,17,"Community learning (adults only)","17/18"
"Leicester and Leicestershire","LSIP",201718,NA,"Education and training: Total",16560,17,"Education and training (adults only)","17/18"
"Leicester and Leicestershire","LSIP",201718,NA,"Further education and skills: Total",28000,17,"Total FE and skills provision","17/18"
"Liverpool City Region","LSIP",201718,NA,"Apprenticeships: Total",10070,17,"Apprenticeships (all ages)","17/18"
"Liverpool City Region","LSIP",201718,NA,"Community learning: Total",19410,17,"Community learning (adults only)","17/18"
"Liverpool City Region","LSIP",201718,NA,"Education and training: Total",33690,17,"Education and training (adults only)","17/18"
"Liverpool City Region","LSIP",201718,NA,"Further education and skills: Total",60190,17,"Total FE and skills provision","17/18"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201718,NA,"Apprenticeships: Total",7250,17,"Apprenticeships (all ages)","17/18"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201718,NA,"Community learning: Total",8320,17,"Community learning (adults only)","17/18"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201718,NA,"Education and training: Total",17490,17,"Education and training (adults only)","17/18"
"Norfolk and Suffolk (Greater Anglia)","LSIP",201718,NA,"Further education and skills: Total",32180,17,"Total FE and skills provision","17/18"
"North East","LSIP",201718,NA,"Apprenticeships: Total",9600,17,"Apprenticeships (all ages)","17/18"
"North East","LSIP",201718,NA,"Community learning: Total",10420,17,"Community learning (adults only)","17/18"
"North East","LSIP",201718,NA,"Education and training: Total",32260,17,"Education and training (adults only)","17/18"
"North East","LSIP",201718,NA,"Further education and skills: Total",50830,17,"Total FE and skills provision","17/18"
"North of Tyne","LSIP",201718,NA,"Apprenticeships: Total",4830,17,"Apprenticeships (all ages)","17/18"
"North of Tyne","LSIP",201718,NA,"Community learning: Total",3590,17,"Community learning (adults only)","17/18"
"North of Tyne","LSIP",201718,NA,"Education and training: Total",17800,17,"Education and training (adults only)","17/18"
"North of Tyne","LSIP",201718,NA,"Further education and skills: Total",25400,17,"Total FE and skills provision","17/18"
"Oxfordshire","LSIP",201718,NA,"Apprenticeships: Total",2320,17,"Apprenticeships (all ages)","17/18"
"Oxfordshire","LSIP",201718,NA,"Community learning: Total",5590,17,"Community learning (adults only)","17/18"
"Oxfordshire","LSIP",201718,NA,"Education and training: Total",5920,17,"Education and training (adults only)","17/18"
"Oxfordshire","LSIP",201718,NA,"Further education and skills: Total",13280,17,"Total FE and skills provision","17/18"
"Solent","LSIP",201718,NA,"Apprenticeships: Total",7990,17,"Apprenticeships (all ages)","17/18"
"Solent","LSIP",201718,NA,"Community learning: Total",9340,17,"Community learning (adults only)","17/18"
"Solent","LSIP",201718,NA,"Education and training: Total",15140,17,"Education and training (adults only)","17/18"
"Solent","LSIP",201718,NA,"Further education and skills: Total",33460,17,"Total FE and skills provision","17/18"
"South East Midlands","LSIP",201718,NA,"Apprenticeships: Total",7100,17,"Apprenticeships (all ages)","17/18"
"South East Midlands","LSIP",201718,NA,"Community learning: Total",10110,17,"Community learning (adults only)","17/18"
"South East Midlands","LSIP",201718,NA,"Education and training: Total",24300,17,"Education and training (adults only)","17/18"
"South East Midlands","LSIP",201718,NA,"Further education and skills: Total",41300,17,"Total FE and skills provision","17/18"
"South Yorkshire","LSIP",201718,NA,"Apprenticeships: Total",8140,17,"Apprenticeships (all ages)","17/18"
"South Yorkshire","LSIP",201718,NA,"Community learning: Total",7690,17,"Community learning (adults only)","17/18"
