"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"South East Midlands","LEP",201617,NA,"Education and training: Total",22160,16,"Education and training (adults only)","16/17"
"South East Midlands","LEP",201617,NA,"Further education and skills: Total",39170,16,"Total FE and skills provision","16/17"
"Stoke-on-Trent and Staffordshire","LEP",201617,NA,"Apprenticeships: Total",7440,16,"Apprenticeships (all ages)","16/17"
"Stoke-on-Trent and Staffordshire","LEP",201617,NA,"Community learning: Total",8330,16,"Community learning (adults only)","16/17"
"Stoke-on-Trent and Staffordshire","LEP",201617,NA,"Education and training: Total",14460,16,"Education and training (adults only)","16/17"
"Stoke-on-Trent and Staffordshire","LEP",201617,NA,"Further education and skills: Total",30150,16,"Total FE and skills provision","16/17"
"Swindon and Wiltshire","LEP",201617,NA,"Apprenticeships: Total",4280,16,"Apprenticeships (all ages)","16/17"
"Swindon and Wiltshire","LEP",201617,NA,"Community learning: Total",2720,16,"Community learning (adults only)","16/17"
"Swindon and Wiltshire","LEP",201617,NA,"Education and training: Total",7080,16,"Education and training (adults only)","16/17"
"Swindon and Wiltshire","LEP",201617,NA,"Further education and skills: Total",15150,16,"Total FE and skills provision","16/17"
"Tees Valley","LEP",201617,NA,"Apprenticeships: Total",5540,16,"Apprenticeships (all ages)","16/17"
"Tees Valley","LEP",201617,NA,"Community learning: Total",8020,16,"Community learning (adults only)","16/17"
"Tees Valley","LEP",201617,NA,"Education and training: Total",21990,16,"Education and training (adults only)","16/17"
"Tees Valley","LEP",201617,NA,"Further education and skills: Total",34350,16,"Total FE and skills provision","16/17"
"Thames Valley Berkshire","LEP",201617,NA,"Apprenticeships: Total",3210,16,"Apprenticeships (all ages)","16/17"
"Thames Valley Berkshire","LEP",201617,NA,"Community learning: Total",10360,16,"Community learning (adults only)","16/17"
"Thames Valley Berkshire","LEP",201617,NA,"Education and training: Total",8840,16,"Education and training (adults only)","16/17"
"Thames Valley Berkshire","LEP",201617,NA,"Further education and skills: Total",22180,16,"Total FE and skills provision","16/17"
"The Marches","LEP",201617,NA,"Apprenticeships: Total",4300,16,"Apprenticeships (all ages)","16/17"
"The Marches","LEP",201617,NA,"Community learning: Total",3540,16,"Community learning (adults only)","16/17"
"The Marches","LEP",201617,NA,"Education and training: Total",9000,16,"Education and training (adults only)","16/17"
"The Marches","LEP",201617,NA,"Further education and skills: Total",17500,16,"Total FE and skills provision","16/17"
"West of England","LEP",201617,NA,"Apprenticeships: Total",4870,16,"Apprenticeships (all ages)","16/17"
"West of England","LEP",201617,NA,"Community learning: Total",4060,16,"Community learning (adults only)","16/17"
"West of England","LEP",201617,NA,"Education and training: Total",14950,16,"Education and training (adults only)","16/17"
"West of England","LEP",201617,NA,"Further education and skills: Total",24220,16,"Total FE and skills provision","16/17"
"Worcestershire","LEP",201617,NA,"Apprenticeships: Total",3000,16,"Apprenticeships (all ages)","16/17"
"Worcestershire","LEP",201617,NA,"Community learning: Total",3080,16,"Community learning (adults only)","16/17"
"Worcestershire","LEP",201617,NA,"Education and training: Total",6230,16,"Education and training (adults only)","16/17"
