"subgroup","metric","breakdown","geogConcat","chartPeriod","value","timePeriod","latest","valueText"
"Teaching and other educational professionals","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,1.0782095050501,2035-01-01,1,"1.0782095050501042"
"Business, media and public service professionals","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,9.10212781271824,2035-01-01,1,"9.102127812718237"
"Science, engineering and technology associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,0.183343388272901,2035-01-01,1,"0.18334338827290075"
"Health and social care associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,12.2884714169054,2035-01-01,1,"12.288471416905448"
"Protective service occupations","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-0.84092102273206,2035-01-01,1,"-0.8409210227320596"
"Culture, media and sports occupations","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-0.326483406687164,2035-01-01,1,"-0.32648340668716358"
"Business and public service associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,3.86139786210468,2035-01-01,1,"3.8613978621046812"
"Administrative occupations","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-2.76070710900946,2035-01-01,1,"-2.7607071090094593"
"Secretarial and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-5.79083598553084,2035-01-01,1,"-5.7908359855308387"
"Skilled agricultural and related trades","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,1.19209468722125,2035-01-01,1,"1.1920946872212452"
"Skilled metal, electrical and electronic trades","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-0.721476171852625,2035-01-01,1,"-0.72147617185262547"
"Skilled construction and building trades","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-1.98125018023649,2035-01-01,1,"-1.9812501802364899"
"Textiles, printing and other skilled trades","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,2.59292641379722,2035-01-01,1,"2.592926413797219"
"Caring personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,6.16012859527849,2035-01-01,1,"6.1601285952784863"
"Leisure, travel and related personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-1.21860678907723,2035-01-01,1,"-1.2186067890772314"
"Community and civil enforcement occupations","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-0.190817382512101,2035-01-01,1,"-0.19081738251210112"
"Sales occupations","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-1.77999477361736,2035-01-01,1,"-1.7799947736173607"
"Customer service occupations","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,3.11256378698761,2035-01-01,1,"3.1125637869876144"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,0.0988816317471795,2035-01-01,1,"9.8881631747179455E-2"
"Transport and mobile machine drivers and operatives","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-1.23120638173596,2035-01-01,1,"-1.2312063817359551"
"Elementary trades and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,9.30366580838649,2035-01-01,1,"9.3036658083864854"
"Elementary administration and service occupations","wfReplacement","Occupation (SOC2020 submajor)","Brighton and Hove, East Sussex, West Sussex LSIP",2035,-12.1518659023256,2035-01-01,1,"-12.151865902325625"
"All occupations","wfReplacement","Total","Brighton and Hove, East Sussex, West Sussex LSIP",2035,44.6179999999998,2035-01-01,1,"44.617999999999824"
"Elementary occupations","wfReplacement","Occupation (SOC2020 major)","Greater Birmingham and Solihull LEP",2035,2.10015931901587,2035-01-01,1,"2.1001593190158729"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 major)","Greater Birmingham and Solihull LEP",2035,2.00564568048414,2035-01-01,1,"2.0056456804841361"
"Sales and customer service occupations","wfReplacement","Occupation (SOC2020 major)","Greater Birmingham and Solihull LEP",2035,3.7556194844485,2035-01-01,1,"3.755619484448502"
"Caring, leisure and other service occupations","wfReplacement","Occupation (SOC2020 major)","Greater Birmingham and Solihull LEP",2035,9.5643958486438,2035-01-01,1,"9.5643958486437981"
"Skilled trades occupations","wfReplacement","Occupation (SOC2020 major)","Greater Birmingham and Solihull LEP",2035,-7.15633038375137,2035-01-01,1,"-7.1563303837513672"
"Administrative and secretarial occupations","wfReplacement","Occupation (SOC2020 major)","Greater Birmingham and Solihull LEP",2035,-3.70289866320739,2035-01-01,1,"-3.7028986632073924"
"Associate professional occupations","wfReplacement","Occupation (SOC2020 major)","Greater Birmingham and Solihull LEP",2035,22.268406706278,2035-01-01,1,"22.268406706277972"
"Professional occupations","wfReplacement","Occupation (SOC2020 major)","Greater Birmingham and Solihull LEP",2035,42.2468482934391,2035-01-01,1,"42.246848293439058"
"Managers, directors and senior officials","wfReplacement","Occupation (SOC2020 major)","Greater Birmingham and Solihull LEP",2035,5.0621537146486,2035-01-01,1,"5.062153714648602"
"Corporate managers and directors","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,-0.49903057485102,2035-01-01,1,"-0.49903057485101954"
"Other managers and proprietors","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,5.56118428949962,2035-01-01,1,"5.561184289499618"
"Science, research, engineering and technology professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,23.6793534563286,2035-01-01,1,"23.679353456328649"
"Health professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,2.54132973639055,2035-01-01,1,"2.5413297363905514"
"Teaching and other educational professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,5.02554118344223,2035-01-01,1,"5.025541183442229"
"Business, media and public service professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,11.0006239172776,2035-01-01,1,"11.000623917277622"
"Science, engineering and technology associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,0.0696614272522353,2035-01-01,1,"6.9661427252235342E-2"
"Health and social care associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,19.0858019138099,2035-01-01,1,"19.085801913809856"
"Protective service occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,-0.743470325718803,2035-01-01,1,"-0.74347032571880334"
"Culture, media and sports occupations","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,-0.891050629682582,2035-01-01,1,"-0.89105062968258153"
"Business and public service associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Greater Birmingham and Solihull LEP",2035,4.74746432061727,2035-01-01,1,"4.7474643206172686"
