"area","geographic_level","time_period","cohort_level_group","all_unknown","all_notsust","cohort","appren","education","all_work"
"West of England and North Somerset","LSIP",201718,"Total","605","1404","11243","1292","4221","3721"
"West of England and North Somerset","LSIP",201819,"All other qualifications","226","569","1995","344","318","538"
"West of England and North Somerset","LSIP",201819,"Level 2","127","406","2326","332","662","799"
"West of England and North Somerset","LSIP",201819,"Level 3","265","506","6724","565","3279","2109"
"West of England and North Somerset","LSIP",201819,"Total","618","1481","11045","1241","4259","3446"
"West of England and North Somerset","LSIP",201920,"All other qualifications","224","573","2065","295","353","620"
"West of England and North Somerset","LSIP",201920,"Level 2","92","311","1822","321","430","668"
"West of England and North Somerset","LSIP",201920,"Level 3","247","562","7001","474","3478","2240"
"West of England and North Somerset","LSIP",201920,"Total","563","1446","10888","1090","4261","3528"
"West Yorkshire","LSIP",201718,"All other qualifications","498","1204","3511","475","618","716"
"West Yorkshire","LSIP",201718,"Level 2","262","703","3470","587","983","935"
"West Yorkshire","LSIP",201718,"Level 3","568","1346","15933","1371","9661","2987"
"West Yorkshire","LSIP",201718,"Total","1328","3253","22914","2433","11262","4638"
"West Yorkshire","LSIP",201819,"All other qualifications","483","1143","3300","417","541","716"
"West Yorkshire","LSIP",201819,"Level 2","278","907","4296","686","1266","1159"
"West Yorkshire","LSIP",201819,"Level 3","451","1161","13938","1122","8524","2680"
"West Yorkshire","LSIP",201819,"Total","1212","3211","21534","2225","10331","4555"
"West Yorkshire","LSIP",201920,"All other qualifications","428","1124","3373","491","624","706"
"West Yorkshire","LSIP",201920,"Level 2","208","902","3617","547","1021","939"
"West Yorkshire","LSIP",201920,"Level 3","509","1315","14640","1104","8932","2780"
"West Yorkshire","LSIP",201920,"Total","1145","3341","21630","2142","10577","4425"
"York and North Yorkshire","LSIP",201718,"All other qualifications","53","145","475","84","56","137"
"York and North Yorkshire","LSIP",201718,"Level 2","53","115","682","141","69","304"
"York and North Yorkshire","LSIP",201718,"Level 3","152","222","2671","186","1257","854"
"York and North Yorkshire","LSIP",201718,"Total","258","482","3828","411","1382","1295"
"York and North Yorkshire","LSIP",201819,"All other qualifications","50","147","423","58","45","123"
"York and North Yorkshire","LSIP",201819,"Level 2","56","166","899","129","144","404"
"York and North Yorkshire","LSIP",201819,"Level 3","124","180","2150","152","1063","631"
"York and North Yorkshire","LSIP",201819,"Total","230","493","3472","339","1252","1158"
"York and North Yorkshire","LSIP",201920,"All other qualifications","55","178","544","92","53","166"
"York and North Yorkshire","LSIP",201920,"Level 2","59","128","647","98","89","273"
"York and North Yorkshire","LSIP",201920,"Level 3","134","219","2319","151","1087","728"
"York and North Yorkshire","LSIP",201920,"Total","248","525","3510","341","1229","1167"
