"area","geographic_level","time_period","cohort_level_group","all_unknown","all_notsust","cohort","appren","education","all_work"
"Greater Lincolnshire","LEP",201819,"Level 2","50","225","1041","168","292","306"
"Greater Lincolnshire","LEP",201819,"Level 3","90","234","2375","250","1270","531"
"Greater Lincolnshire","LEP",201819,"Total","215","713","4145","530","1670","1017"
"Greater Lincolnshire","LEP",201920,"All other qualifications","82","316","911","112","170","231"
"Greater Lincolnshire","LEP",201920,"Level 2","46","235","954","149","245","279"
"Greater Lincolnshire","LEP",201920,"Level 3","82","291","2823","233","1604","613"
"Greater Lincolnshire","LEP",201920,"Total","210","842","4688","494","2019","1123"
"Greater Manchester","LEP",201718,"All other qualifications","617","1305","4266","633","753","958"
"Greater Manchester","LEP",201718,"Level 2","323","866","4340","686","1135","1330"
"Greater Manchester","LEP",201718,"Level 3","771","1659","19621","1573","11532","4086"
"Greater Manchester","LEP",201718,"Total","1711","3830","28227","2892","13420","6374"
"Greater Manchester","LEP",201819,"All other qualifications","547","1337","4332","597","881","970"
"Greater Manchester","LEP",201819,"Level 2","325","1235","6221","697","2262","1702"
"Greater Manchester","LEP",201819,"Level 3","629","1479","18287","1405","11160","3614"
"Greater Manchester","LEP",201819,"Total","1501","4051","28840","2699","14303","6286"
"Greater Manchester","LEP",201920,"All other qualifications","581","1377","4345","574","813","1001"
"Greater Manchester","LEP",201920,"Level 2","244","921","3860","533","1085","1077"
"Greater Manchester","LEP",201920,"Level 3","677","1827","19348","1263","11692","3889"
"Greater Manchester","LEP",201920,"Total","1502","4125","27553","2370","13590","5967"
"Heart of the South West","LEP",201718,"All other qualifications","83","253","757","114","132","175"
"Heart of the South West","LEP",201718,"Level 2","81","199","1052","198","222","352"
"Heart of the South West","LEP",201718,"Level 3","117","266","2862","278","1453","748"
"Heart of the South West","LEP",201718,"Total","281","718","4671","590","1807","1275"
"Heart of the South West","LEP",201819,"All other qualifications","58","211","664","126","123","146"
"Heart of the South West","LEP",201819,"Level 2","59","239","1232","284","314","336"
"Heart of the South West","LEP",201819,"Level 3","94","228","2635","198","1454","661"
"Heart of the South West","LEP",201819,"Total","211","678","4531","608","1891","1143"
"Heart of the South West","LEP",201920,"All other qualifications","60","239","694","120","107","168"
"Heart of the South West","LEP",201920,"Level 2","44","199","931","217","202","269"
"Heart of the South West","LEP",201920,"Level 3","113","241","2578","231","1353","640"
"Heart of the South West","LEP",201920,"Total","217","679","4203","568","1662","1077"
"Hull and East Yorkshire","LEP",201718,"All other qualifications","123","342","1039","194","90","290"
"Hull and East Yorkshire","LEP",201718,"Level 2","92","269","1127","195","202","369"
"Hull and East Yorkshire","LEP",201718,"Level 3","142","360","3970","364","2193","911"
"Hull and East Yorkshire","LEP",201718,"Total","357","971","6136","753","2485","1570"
"Hull and East Yorkshire","LEP",201819,"All other qualifications","88","304","892","159","121","220"
"Hull and East Yorkshire","LEP",201819,"Level 2","79","347","1327","213","266","422"
"Hull and East Yorkshire","LEP",201819,"Level 3","110","312","3493","328","1978","765"
"Hull and East Yorkshire","LEP",201819,"Total","277","963","5712","700","2365","1407"
"Hull and East Yorkshire","LEP",201920,"All other qualifications","95","325","958","163","163","212"
