"subgroup","STEM","pathway","SubjectHEFE","value","englandPer","ids","label","parents","colors","labelPer","idsPer"
"Engineering Biology SOC2010","STEM","Further Education",NA,0.0947316295993283,0.0766424962115139,"STEM - Further Education","Further Education","STEM","#2073BC","Further Education<br>9%","STEM - Further Education<br>9%"
"Engineering Biology SOC2010","STEM","Higher Education",NA,0.506437444829591,0.160278822233371,"STEM - Higher Education","Higher Education","STEM","#2073BC","Higher Education<br>51%","STEM - Higher Education<br>51%"
"Engineering technicians","Not STEM","A/AS levels",NA,0.0555555555555556,0.0968779254094927,"Not STEM - A/AS levels","A/AS levels","Not STEM","#3D3D3D","A/AS levels<br>6%","Not STEM - A/AS levels<br>6%"
"Engineering technicians","Not STEM","Apprenticeship",NA,0.0444444444444444,0.0889583085508588,"Not STEM - Apprenticeship","Apprenticeship","Not STEM","#3D3D3D","Apprenticeship<br>4%","Not STEM - Apprenticeship<br>4%"
"Engineering technicians","Not STEM","Further Education",NA,0.155555555555556,0.226791966857858,"Not STEM - Further Education","Further Education","Not STEM","#3D3D3D","Further Education<br>16%","Not STEM - Further Education<br>16%"
"Engineering technicians","Not STEM","GCSEs",NA,0.0444444444444444,0.06380948440385,"Not STEM - GCSEs","GCSEs","Not STEM","#3D3D3D","GCSEs<br>4%","Not STEM - GCSEs<br>4%"
"Engineering technicians","Not STEM","Higher Education",NA,0.0555555555555556,0.242840666359795,"Not STEM - Higher Education","Higher Education","Not STEM","#3D3D3D","Higher Education<br>6%","Not STEM - Higher Education<br>6%"
"Engineering technicians","STEM","Apprenticeship",NA,0.211111111111111,0.0438003299732608,"STEM - Apprenticeship","Apprenticeship","STEM","#2073BC","Apprenticeship<br>21%","STEM - Apprenticeship<br>21%"
"Engineering technicians","STEM","Further Education",NA,0.2,0.0766424962115139,"STEM - Further Education","Further Education","STEM","#2073BC","Further Education<br>20%","STEM - Further Education<br>20%"
"Engineering technicians","STEM","Higher Education",NA,0.233333333333333,0.160278822233371,"STEM - Higher Education","Higher Education","STEM","#2073BC","Higher Education<br>23%","STEM - Higher Education<br>23%"
"Future Telecommunications SOC2010","Not STEM","A/AS levels",NA,0.0666076713006575,0.0968779254094927,"Not STEM - A/AS levels","A/AS levels","Not STEM","#3D3D3D","A/AS levels<br>7%","Not STEM - A/AS levels<br>7%"
"Future Telecommunications SOC2010","Not STEM","Apprenticeship",NA,0.027594606681701,0.0889583085508588,"Not STEM - Apprenticeship","Apprenticeship","Not STEM","#3D3D3D","Apprenticeship<br>3%","Not STEM - Apprenticeship<br>3%"
"Future Telecommunications SOC2010","Not STEM","Further Education",NA,0.0608984423320297,0.226791966857858,"Not STEM - Further Education","Further Education","Not STEM","#3D3D3D","Further Education<br>6%","Not STEM - Further Education<br>6%"
"Future Telecommunications SOC2010","Not STEM","GCSEs",NA,0.0304492211660149,0.06380948440385,"Not STEM - GCSEs","GCSEs","Not STEM","#3D3D3D","GCSEs<br>3%","Not STEM - GCSEs<br>3%"
"Future Telecommunications SOC2010","Not STEM","Higher Education",NA,0.217435985270189,0.242840666359795,"Not STEM - Higher Education","Higher Education","Not STEM","#3D3D3D","Higher Education<br>22%","Not STEM - Higher Education<br>22%"
"Future Telecommunications SOC2010","STEM","Apprenticeship",NA,0.0913476634980446,0.0438003299732608,"STEM - Apprenticeship","Apprenticeship","STEM","#2073BC","Apprenticeship<br>9%","STEM - Apprenticeship<br>9%"
"Future Telecommunications SOC2010","STEM","Further Education",NA,0.0884930490137307,0.0766424962115139,"STEM - Further Education","Further Education","STEM","#2073BC","Further Education<br>9%","STEM - Further Education<br>9%"
"Future Telecommunications SOC2010","STEM","Higher Education",NA,0.417173360737632,0.160278822233371,"STEM - Higher Education","Higher Education","STEM","#2073BC","Higher Education<br>42%","STEM - Higher Education<br>42%"
"IT business analysts, architects and systems designers","Not STEM","A/AS levels",NA,0.0769329401205283,0.0968779254094927,"Not STEM - A/AS levels","A/AS levels","Not STEM","#3D3D3D","A/AS levels<br>8%","Not STEM - A/AS levels<br>8%"
"IT business analysts, architects and systems designers","Not STEM","Apprenticeship",NA,0.0641107834337736,0.0889583085508588,"Not STEM - Apprenticeship","Apprenticeship","Not STEM","#3D3D3D","Apprenticeship<br>6%","Not STEM - Apprenticeship<br>6%"
"IT business analysts, architects and systems designers","Not STEM","Further Education",NA,0.0256443133735094,0.226791966857858,"Not STEM - Further Education","Further Education","Not STEM","#3D3D3D","Further Education<br>3%","Not STEM - Further Education<br>3%"
"IT business analysts, architects and systems designers","Not STEM","GCSEs",NA,0.0384664700602641,0.06380948440385,"Not STEM - GCSEs","GCSEs","Not STEM","#3D3D3D","GCSEs<br>4%","Not STEM - GCSEs<br>4%"
"IT business analysts, architects and systems designers","Not STEM","Higher Education",NA,0.22425952045134,0.242840666359795,"Not STEM - Higher Education","Higher Education","Not STEM","#3D3D3D","Higher Education<br>22%","Not STEM - Higher Education<br>22%"
"IT business analysts, architects and systems designers","STEM","Apprenticeship",NA,0.115399410180792,0.0438003299732608,"STEM - Apprenticeship","Apprenticeship","STEM","#2073BC","Apprenticeship<br>12%","STEM - Apprenticeship<br>12%"
"IT business analysts, architects and systems designers","STEM","Further Education",NA,0.0512886267470189,0.0766424962115139,"STEM - Further Education","Further Education","STEM","#2073BC","Further Education<br>5%","STEM - Further Education<br>5%"
"IT business analysts, architects and systems designers","STEM","Higher Education",NA,0.403897935632773,0.160278822233371,"STEM - Higher Education","Higher Education","STEM","#2073BC","Higher Education<br>40%","STEM - Higher Education<br>40%"
"Programmers and software development professionals","Not STEM","A/AS levels",NA,0.0282269446348643,0.0968779254094927,"Not STEM - A/AS levels","A/AS levels","Not STEM","#3D3D3D","A/AS levels<br>3%","Not STEM - A/AS levels<br>3%"
"Programmers and software development professionals","Not STEM","Apprenticeship",NA,0.00403242066212347,0.0889583085508588,"Not STEM - Apprenticeship","Apprenticeship","Not STEM","#3D3D3D","Apprenticeship<br>0%","Not STEM - Apprenticeship<br>0%"
"Programmers and software development professionals","Not STEM","Further Education",NA,0.0161296826484939,0.226791966857858,"Not STEM - Further Education","Further Education","Not STEM","#3D3D3D","Further Education<br>2%","Not STEM - Further Education<br>2%"
"Programmers and software development professionals","Not STEM","GCSEs",NA,0.00403242066212347,0.06380948440385,"Not STEM - GCSEs","GCSEs","Not STEM","#3D3D3D","GCSEs<br>0%","Not STEM - GCSEs<br>0%"
"Programmers and software development professionals","Not STEM","Higher Education",NA,0.137787814024759,0.242840666359795,"Not STEM - Higher Education","Higher Education","Not STEM","#3D3D3D","Higher Education<br>14%","Not STEM - Higher Education<br>14%"
"Programmers and software development professionals","STEM","Apprenticeship",NA,0.0483890479454817,0.0438003299732608,"STEM - Apprenticeship","Apprenticeship","STEM","#2073BC","Apprenticeship<br>5%","STEM - Apprenticeship<br>5%"
"Programmers and software development professionals","STEM","Further Education",NA,0.0483890479454817,0.0766424962115139,"STEM - Further Education","Further Education","STEM","#2073BC","Further Education<br>5%","STEM - Further Education<br>5%"
"Programmers and software development professionals","STEM","Higher Education",NA,0.713012621476672,0.160278822233371,"STEM - Higher Education","Higher Education","STEM","#2073BC","Higher Education<br>71%","STEM - Higher Education<br>71%"
"Quantum SOC2010","Not STEM","A/AS levels",NA,0.0516845559335072,0.0968779254094927,"Not STEM - A/AS levels","A/AS levels","Not STEM","#3D3D3D","A/AS levels<br>5%","Not STEM - A/AS levels<br>5%"
"Quantum SOC2010","Not STEM","Apprenticeship",NA,0.0192314626729329,0.0889583085508588,"Not STEM - Apprenticeship","Apprenticeship","Not STEM","#3D3D3D","Apprenticeship<br>2%","Not STEM - Apprenticeship<br>2%"
"Quantum SOC2010","Not STEM","Further Education",NA,0.0504825895164489,0.226791966857858,"Not STEM - Further Education","Further Education","Not STEM","#3D3D3D","Further Education<br>5%","Not STEM - Further Education<br>5%"
"Quantum SOC2010","Not STEM","GCSEs",NA,0.0144235970046997,0.06380948440385,"Not STEM - GCSEs","GCSEs","Not STEM","#3D3D3D","GCSEs<br>1%","Not STEM - GCSEs<br>1%"
"Quantum SOC2010","Not STEM","Higher Education",NA,0.138214118297535,0.242840666359795,"Not STEM - Higher Education","Higher Education","Not STEM","#3D3D3D","Higher Education<br>14%","Not STEM - Higher Education<br>14%"
"Quantum SOC2010","STEM","Apprenticeship",NA,0.0973592797817229,0.0438003299732608,"STEM - Apprenticeship","Apprenticeship","STEM","#2073BC","Apprenticeship<br>10%","STEM - Apprenticeship<br>10%"
"Quantum SOC2010","STEM","Further Education",NA,0.0925514141134897,0.0766424962115139,"STEM - Further Education","Further Education","STEM","#2073BC","Further Education<br>9%","STEM - Further Education<br>9%"
"Quantum SOC2010","STEM","Higher Education",NA,0.536052982679664,0.160278822233371,"STEM - Higher Education","Higher Education","STEM","#2073BC","Higher Education<br>54%","STEM - Higher Education<br>54%"
"STEM SOC2010","Not STEM","A/AS levels",NA,0.0775716592774495,0.0968779254094927,"Not STEM - A/AS levels","A/AS levels","Not STEM","#3D3D3D","A/AS levels<br>8%","Not STEM - A/AS levels<br>8%"
"STEM SOC2010","Not STEM","Apprenticeship",NA,0.0494462623464444,0.0889583085508588,"Not STEM - Apprenticeship","Apprenticeship","Not STEM","#3D3D3D","Apprenticeship<br>5%","Not STEM - Apprenticeship<br>5%"
"STEM SOC2010","Not STEM","Further Education",NA,0.105394632585541,0.226791966857858,"Not STEM - Further Education","Further Education","Not STEM","#3D3D3D","Further Education<br>11%","Not STEM - Further Education<br>11%"
"STEM SOC2010","Not STEM","GCSEs",NA,0.0443050607569058,0.06380948440385,"Not STEM - GCSEs","GCSEs","Not STEM","#3D3D3D","GCSEs<br>4%","Not STEM - GCSEs<br>4%"
"STEM SOC2010","Not STEM","Higher Education",NA,0.200838015859095,0.242840666359795,"Not STEM - Higher Education","Higher Education","Not STEM","#3D3D3D","Higher Education<br>20%","Not STEM - Higher Education<br>20%"
"STEM SOC2010","STEM","Apprenticeship",NA,0.139417290163369,0.0438003299732608,"STEM - Apprenticeship","Apprenticeship","STEM","#2073BC","Apprenticeship<br>14%","STEM - Apprenticeship<br>14%"
"STEM SOC2010","STEM","Further Education",NA,0.118550060182301,0.0766424962115139,"STEM - Further Education","Further Education","STEM","#2073BC","Further Education<br>12%","STEM - Further Education<br>12%"
"STEM SOC2010","STEM","Higher Education",NA,0.264477018828895,0.160278822233371,"STEM - Higher Education","Higher Education","STEM","#2073BC","Higher Education<br>26%","STEM - Higher Education<br>26%"
"Semiconductors SOC2010","Not STEM","A/AS levels",NA,0.0695215048731901,0.0968779254094927,"Not STEM - A/AS levels","A/AS levels","Not STEM","#3D3D3D","A/AS levels<br>7%","Not STEM - A/AS levels<br>7%"
"Semiconductors SOC2010","Not STEM","Apprenticeship",NA,0.0280759923526345,0.0889583085508588,"Not STEM - Apprenticeship","Apprenticeship","Not STEM","#3D3D3D","Apprenticeship<br>3%","Not STEM - Apprenticeship<br>3%"
"Semiconductors SOC2010","Not STEM","Further Education",NA,0.105619209326577,0.226791966857858,"Not STEM - Further Education","Further Education","Not STEM","#3D3D3D","Further Education<br>11%","Not STEM - Further Education<br>11%"
"Semiconductors SOC2010","Not STEM","GCSEs",NA,0.0374346564701793,0.06380948440385,"Not STEM - GCSEs","GCSEs","Not STEM","#3D3D3D","GCSEs<br>4%","Not STEM - GCSEs<br>4%"
"Semiconductors SOC2010","Not STEM","Higher Education",NA,0.118748078131476,0.242840666359795,"Not STEM - Higher Education","Higher Education","Not STEM","#3D3D3D","Higher Education<br>12%","Not STEM - Higher Education<br>12%"
"Semiconductors SOC2010","STEM","Apprenticeship",NA,0.148401673863925,0.0438003299732608,"STEM - Apprenticeship","Apprenticeship","STEM","#2073BC","Apprenticeship<br>15%","STEM - Apprenticeship<br>15%"
"Semiconductors SOC2010","STEM","Further Education",NA,0.137706057729588,0.0766424962115139,"STEM - Further Education","Further Education","STEM","#2073BC","Further Education<br>14%","STEM - Further Education<br>14%"
"Semiconductors SOC2010","STEM","Higher Education",NA,0.35449282725243,0.160278822233371,"STEM - Higher Education","Higher Education","STEM","#2073BC","Higher Education<br>35%","STEM - Higher Education<br>35%"
"Artificial Intelligence SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0596168181774176,0.0525235455057952,"Not STEM - Higher Education - Business & administrative studies","Business & administrative studies","Not STEM - Higher Education","#BFBFBF","Business & <br> administrative <br> studies<br>6%","Not STEM - Higher Education - Business & administrative studies<br>6%"
"Artificial Intelligence SOC2010","Not STEM","Higher Education","Social studies",0.0656869294143843,0.0403877832313588,"Not STEM - Higher Education - Social studies","Social studies","Not STEM - Higher Education","#BFBFBF","Social studies<br>7%","Not STEM - Higher Education - Social studies<br>7%"
"Artificial Intelligence SOC2010","STEM","Apprenticeship","Engineering and Manufacturing Technologies",0.0261392349917226,0.0287368954584715,"STEM - Apprenticeship - Engineering and Manufacturing Technologies","Engineering and Manufacturing Technologies","STEM - Apprenticeship","#C6DFF6","Engineering and <br> Manufacturing <br> Technologies<br>3%","STEM - Apprenticeship - Engineering and Manufacturing Technologies<br>3%"
"Artificial Intelligence SOC2010","STEM","Apprenticeship","Information and Communication Technology (ICT)",0.0425972718383627,0.00730544249000512,"STEM - Apprenticeship - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Apprenticeship","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>4%","STEM - Apprenticeship - Information and Communication Technology (ICT)<br>4%"
"Artificial Intelligence SOC2010","STEM","Further Education","Information and Communication Technology (ICT)",0.0251711151772143,0.0223688770047944,"STEM - Further Education - Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","STEM - Further Education","#C6DFF6","Information and <br> Communication <br> Technology (ICT)<br>3%","STEM - Further Education - Information and Communication Technology (ICT)<br>3%"
"Artificial Intelligence SOC2010","STEM","Higher Education","Biological sciences",0.0341939918484312,0.0398495725346394,"STEM - Higher Education - Biological sciences","Biological sciences","STEM - Higher Education","#C6DFF6","Biological sciences<br>3%","STEM - Higher Education - Biological sciences<br>3%"
"Artificial Intelligence SOC2010","STEM","Higher Education","Computer science",0.189267423736362,0.0174406125710503,"STEM - Higher Education - Computer science","Computer science","STEM - Higher Education","#C6DFF6","Computer science<br>19%","STEM - Higher Education - Computer science<br>19%"
"Artificial Intelligence SOC2010","STEM","Higher Education","Engineering & technology",0.132148354680375,0.0204116002668749,"STEM - Higher Education - Engineering & technology","Engineering & technology","STEM - Higher Education","#C6DFF6","Engineering & <br> technology<br>13%","STEM - Higher Education - Engineering & technology<br>13%"
"Artificial Intelligence SOC2010","STEM","Higher Education","Mathematical sciences",0.0414645716553881,0.00830493046253149,"STEM - Higher Education - Mathematical sciences","Mathematical sciences","STEM - Higher Education","#C6DFF6","Mathematical <br> sciences<br>4%","STEM - Higher Education - Mathematical sciences<br>4%"
"Artificial Intelligence SOC2010","STEM","Higher Education","Physical sciences",0.0573030118207429,0.0177797014724669,"STEM - Higher Education - Physical sciences","Physical sciences","STEM - Higher Education","#C6DFF6","Physical sciences<br>6%","STEM - Higher Education - Physical sciences<br>6%"
"Critical Technologies SOC2010","Not STEM","Higher Education","Business & administrative studies",0.0489121479183358,0.0525235455057952,"Not STEM - Higher Education - Business & administrative studies","Business & administrative studies","Not STEM - Higher Education","#BFBFBF","Business & <br> administrative <br> studies<br>5%","Not STEM - Higher Education - Business & administrative studies<br>5%"
"Critical Technologies SOC2010","Not STEM","Higher Education","Creative arts & design",0.033331628681338,0.0440951336702026,"Not STEM - Higher Education - Creative arts & design","Creative arts & design","Not STEM - Higher Education","#BFBFBF","Creative arts & <br> design<br>3%","Not STEM - Higher Education - Creative arts & design<br>3%"
"Critical Technologies SOC2010","Not STEM","Higher Education","Social studies",0.0434743080533442,0.0403877832313588,"Not STEM - Higher Education - Social studies","Social studies","Not STEM - Higher Education","#BFBFBF","Social studies<br>4%","Not STEM - Higher Education - Social studies<br>4%"
