"area","geographic_level","year","Year","jobpc","jobcnt"
"Gloucestershire","LSIP",2021,21,0.0237878787878788,94.2
"Gloucestershire","LSIP",2022,22,0.0208463992583099,152.9
"Greater Birmingham and Solihull","LEP",2017,17,0.0510898458266879,288.3
"Greater Birmingham and Solihull","LEP",2018,18,0.0467968822780486,301.4
"Greater Birmingham and Solihull","LEP",2019,19,0.0450075973243446,257.7
"Greater Birmingham and Solihull","LEP",2020,20,0.0406910103160308,198.8
"Greater Birmingham and Solihull","LEP",2021,21,0.0397727272727273,157.5
"Greater Birmingham and Solihull","LEP",2022,22,0.0421427208027704,309.1
"Greater Cambridge and Greater Peterborough","LEP",2017,17,0.0233032075137338,131.5
"Greater Cambridge and Greater Peterborough","LEP",2018,18,0.028677452411266,184.7
"Greater Cambridge and Greater Peterborough","LEP",2019,19,0.0276298094556124,158.2
"Greater Cambridge and Greater Peterborough","LEP",2020,20,0.0240707384968069,117.6
"Greater Cambridge and Greater Peterborough","LEP",2021,21,0.0217929292929293,86.3
"Greater Cambridge and Greater Peterborough","LEP",2022,22,0.0235868350012271,173
"Greater Lincolnshire","LEP",2017,17,0.0124933545986178,70.5
"Greater Lincolnshire","LEP",2018,18,0.01324410769183,85.3
"Greater Lincolnshire","LEP",2019,19,0.0127669979216515,73.1
"Greater Lincolnshire","LEP",2020,20,0.0120558375634518,58.9
"Greater Lincolnshire","LEP",2021,21,0.0167424242424242,66.3
"Greater Lincolnshire","LEP",2022,22,0.0126250920295585,92.6
"Greater Lincolnshire","LSIP",2017,17,0.0124933545986178,70.5
"Greater Lincolnshire","LSIP",2018,18,0.01324410769183,85.3
"Greater Lincolnshire","LSIP",2019,19,0.0127669979216515,73.1
"Greater Lincolnshire","LSIP",2020,20,0.0120558375634518,58.9
"Greater Lincolnshire","LSIP",2021,21,0.0167424242424242,66.3
"Greater Lincolnshire","LSIP",2022,22,0.0126250920295585,92.6
"Greater London","LSIP",2017,17,0.0930178982810562,524.9
"Greater London","LSIP",2018,18,0.129708412259727,835.4
"Greater London","LSIP",2019,19,0.116981329793737,669.8
"Greater London","LSIP",2020,20,0.10784755198952,526.9
"Greater London","LSIP",2021,21,0.0857575757575758,339.6
"Greater London","LSIP",2022,22,0.136312818694953,999.8
"Greater Manchester","LEP",2017,17,0.0667907141591352,376.9
"Greater Manchester","LEP",2018,18,0.0680681924044344,438.4
"Greater Manchester","LEP",2019,19,0.0708210349826222,405.5
"Greater Manchester","LEP",2020,20,0.071086458162764,347.3
"Greater Manchester","LEP",2021,21,0.0716666666666667,283.8
"Greater Manchester","LEP",2022,22,0.0669429825757369,491
"Greater Manchester","LSIP",2017,17,0.0667907141591352,376.9
"Greater Manchester","LSIP",2018,18,0.0680681924044344,438.4
"Greater Manchester","LSIP",2019,19,0.0708210349826222,405.5
"Greater Manchester","LSIP",2020,20,0.071086458162764,347.3
"Greater Manchester","LSIP",2021,21,0.0716666666666667,283.8
"Greater Manchester","LSIP",2022,22,0.0669429825757369,491
"Heart of the South-West","LSIP",2017,17,0.0256601098706362,144.8
"Heart of the South-West","LSIP",2018,18,0.026332950346241,169.6
"Heart of the South-West","LSIP",2019,19,0.0260928794732522,149.4
"Heart of the South-West","LSIP",2020,20,0.0282462747666612,138
"Heart of the South-West","LSIP",2021,21,0.0335858585858586,133
"Heart of the South-West","LSIP",2022,22,0.0316445341259237,232.1
"Heart of the South West","LEP",2017,17,0.0256601098706362,144.8
"Heart of the South West","LEP",2018,18,0.026332950346241,169.6
"Heart of the South West","LEP",2019,19,0.0260928794732522,149.4
"Heart of the South West","LEP",2020,20,0.0282462747666612,138
"Heart of the South West","LEP",2021,21,0.0335858585858586,133
"Heart of the South West","LEP",2022,22,0.0316445341259237,232.1
"Hertfordshire","LEP",2017,17,0.0310473152578416,175.2
"Hertfordshire","LEP",2018,18,0.0307114244014533,197.8
"Hertfordshire","LEP",2019,19,0.0330265295073092,189.1
"Hertfordshire","LEP",2020,20,0.0329335189127231,160.9
"Hertfordshire","LEP",2021,21,0.0282575757575758,111.9
"Hertfordshire","LEP",2022,22,0.0298312109726502,218.8
"Hertfordshire","LSIP",2017,17,0.0310473152578416,175.2
"Hertfordshire","LSIP",2018,18,0.0307114244014533,197.8
"Hertfordshire","LSIP",2019,19,0.0330265295073092,189.1
"Hertfordshire","LSIP",2020,20,0.0329335189127231,160.9
"Hertfordshire","LSIP",2021,21,0.0282575757575758,111.9
"Hertfordshire","LSIP",2022,22,0.0298312109726502,218.8
"Hull and East Yorkshire","LEP",2017,17,0.00303030303030303,17.1
"Hull and East Yorkshire","LEP",2018,18,0.0027171381548303,17.5
"Hull and East Yorkshire","LEP",2019,19,0.00253244144820721,14.5
"Hull and East Yorkshire","LEP",2020,20,0.00282462747666612,13.8
"Hull and East Yorkshire","LEP",2021,21,0.00335858585858586,13.3
"Hull and East Yorkshire","LEP",2022,22,0.0026313636735473,19.3
"Hull and East Yorkshire","LSIP",2017,17,0.00303030303030303,17.1
"Hull and East Yorkshire","LSIP",2018,18,0.0027171381548303,17.5
"Hull and East Yorkshire","LSIP",2019,19,0.00253244144820721,14.5
"Hull and East Yorkshire","LSIP",2020,20,0.00282462747666612,13.8
"Hull and East Yorkshire","LSIP",2021,21,0.00335858585858586,13.3
"Hull and East Yorkshire","LSIP",2022,22,0.0026313636735473,19.3
"Kent and Medway","LSIP",2017,17,0.0305865674286727,172.6
"Kent and Medway","LSIP",2018,18,0.0312393255286775,201.2
"Kent and Medway","LSIP",2019,19,0.0342316223343871,196
"Kent and Medway","LSIP",2020,20,0.0275298837399705,134.5
"Kent and Medway","LSIP",2021,21,0.0311868686868687,123.5
"Kent and Medway","LSIP",2022,22,0.0276361355765822,202.7
"Lancashire","LEP",2017,17,0.0186602870813397,105.3
