"area","geographic_level","time_period","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
"Leicester and Leicestershire","LSIP",201920,"776","All other qualifications","105","219","76","154","222"
"Leicester and Leicestershire","LSIP",201920,"661","Level 2","56","149","108","138","210"
"Leicester and Leicestershire","LSIP",201920,"2670","Level 3","112","243","116","1766","433"
"Leicester and Leicestershire","LSIP",201920,"4107","Total","273","611","300","2058","865"
"Liverpool City Region","LSIP",201718,"1900","All other qualifications","252","567","337","346","398"
"Liverpool City Region","LSIP",201718,"2468","Level 2","145","482","384","763","694"
"Liverpool City Region","LSIP",201718,"10522","Level 3","406","847","741","6337","2191"
"Liverpool City Region","LSIP",201718,"14890","Total","803","1896","1462","7446","3283"
"Liverpool City Region","LSIP",201819,"1948","All other qualifications","214","635","322","308","469"
"Liverpool City Region","LSIP",201819,"2849","Level 2","147","621","437","869","775"
"Liverpool City Region","LSIP",201819,"9177","Level 3","268","844","589","5638","1838"
"Liverpool City Region","LSIP",201819,"13974","Total","629","2100","1348","6815","3082"
"Liverpool City Region","LSIP",201920,"2237","All other qualifications","235","697","339","423","543"
"Liverpool City Region","LSIP",201920,"2576","Level 2","134","569","361","781","731"
"Liverpool City Region","LSIP",201920,"9350","Level 3","331","867","592","5608","1952"
"Liverpool City Region","LSIP",201920,"14163","Total","700","2133","1292","6812","3226"
"North East","LSIP",201718,"1823","All other qualifications","261","583","423","217","339"
"North East","LSIP",201718,"1521","Level 2","103","350","351","305","412"
"North East","LSIP",201718,"6288","Level 3","265","577","771","3540","1135"
"North East","LSIP",201718,"9632","Total","629","1510","1545","4062","1886"
"North East","LSIP",201819,"2024","All other qualifications","269","684","382","302","387"
"North East","LSIP",201819,"2473","Level 2","124","635","417","670","627"
"North East","LSIP",201819,"6105","Level 3","174","540","731","3574","1086"
"North East","LSIP",201819,"10602","Total","567","1859","1530","4546","2100"
"North East","LSIP",201920,"1997","All other qualifications","240","730","355","292","380"
"North East","LSIP",201920,"1735","Level 2","84","504","365","354","428"
"North East","LSIP",201920,"6551","Level 3","178","697","715","3773","1188"
"North East","LSIP",201920,"10283","Total","502","1931","1435","4419","1996"
"North of Tyne","LSIP",201718,"1766","All other qualifications","270","677","263","214","342"
"North of Tyne","LSIP",201718,"1195","Level 2","91","283","197","249","375"
"North of Tyne","LSIP",201718,"6347","Level 3","206","551","679","3687","1224"
"North of Tyne","LSIP",201718,"9308","Total","567","1511","1139","4150","1941"
"North of Tyne","LSIP",201819,"1801","All other qualifications","244","635","233","311","378"
"North of Tyne","LSIP",201819,"1762","Level 2","93","437","261","457","514"
"North of Tyne","LSIP",201819,"5312","Level 3","164","455","478","3134","1081"
"North of Tyne","LSIP",201819,"8875","Total","501","1527","972","3902","1973"
"North of Tyne","LSIP",201920,"1761","All other qualifications","209","603","225","322","402"
"North of Tyne","LSIP",201920,"1679","Level 2","86","411","236","507","439"
"North of Tyne","LSIP",201920,"5836","Level 3","196","585","472","3394","1189"
"North of Tyne","LSIP",201920,"9276","Total","491","1599","933","4223","2030"
"Solent","LSIP",201718,"831","All other qualifications","119","262","124","129","197"
