"area","geographic_level","time_period","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
"West of England and North Somerset","LSIP",201819,"2326","Level 2","127","406","332","662","799"
"West of England and North Somerset","LSIP",201819,"6724","Level 3","265","506","565","3279","2109"
"West of England and North Somerset","LSIP",201819,"11045","Total","618","1481","1241","4259","3446"
"West of England and North Somerset","LSIP",201920,"2065","All other qualifications","224","573","295","353","620"
"West of England and North Somerset","LSIP",201920,"1822","Level 2","92","311","321","430","668"
"West of England and North Somerset","LSIP",201920,"7001","Level 3","247","562","474","3478","2240"
"West of England and North Somerset","LSIP",201920,"10888","Total","563","1446","1090","4261","3528"
"West Yorkshire","LSIP",201718,"3511","All other qualifications","498","1204","475","618","716"
"West Yorkshire","LSIP",201718,"3470","Level 2","262","703","587","983","935"
"West Yorkshire","LSIP",201718,"15933","Level 3","568","1346","1371","9661","2987"
"West Yorkshire","LSIP",201718,"22914","Total","1328","3253","2433","11262","4638"
"West Yorkshire","LSIP",201819,"3300","All other qualifications","483","1143","417","541","716"
"West Yorkshire","LSIP",201819,"4296","Level 2","278","907","686","1266","1159"
"West Yorkshire","LSIP",201819,"13938","Level 3","451","1161","1122","8524","2680"
"West Yorkshire","LSIP",201819,"21534","Total","1212","3211","2225","10331","4555"
"West Yorkshire","LSIP",201920,"3373","All other qualifications","428","1124","491","624","706"
"West Yorkshire","LSIP",201920,"3617","Level 2","208","902","547","1021","939"
"West Yorkshire","LSIP",201920,"14640","Level 3","509","1315","1104","8932","2780"
"West Yorkshire","LSIP",201920,"21630","Total","1145","3341","2142","10577","4425"
"York and North Yorkshire","LSIP",201718,"475","All other qualifications","53","145","84","56","137"
"York and North Yorkshire","LSIP",201718,"682","Level 2","53","115","141","69","304"
"York and North Yorkshire","LSIP",201718,"2671","Level 3","152","222","186","1257","854"
"York and North Yorkshire","LSIP",201718,"3828","Total","258","482","411","1382","1295"
"York and North Yorkshire","LSIP",201819,"423","All other qualifications","50","147","58","45","123"
"York and North Yorkshire","LSIP",201819,"899","Level 2","56","166","129","144","404"
"York and North Yorkshire","LSIP",201819,"2150","Level 3","124","180","152","1063","631"
"York and North Yorkshire","LSIP",201819,"3472","Total","230","493","339","1252","1158"
"York and North Yorkshire","LSIP",201920,"544","All other qualifications","55","178","92","53","166"
"York and North Yorkshire","LSIP",201920,"647","Level 2","59","128","98","89","273"
"York and North Yorkshire","LSIP",201920,"2319","Level 3","134","219","151","1087","728"
"York and North Yorkshire","LSIP",201920,"3510","Total","248","525","341","1229","1167"
