"year","area","geographic_level","Agriculture and Fishing","Energy and Water","Manufacturing","Construction","Distribution, Hotel and Restaurants","Transport and Communication","Banking, Finance and Insurance","Public Administration, Education and Health","Other Services"
2020,"Stoke-on-Trent and Staffordshire","LEP","4300","11100","68700","39300","104400","49000","69200","162500","26300"
2020,"Swindon and Wiltshire","LEP","7600","6000","37300","27400","49900","31600","64200","100800","31500"
2020,"Tees Valley","LEP","1600","6300","27000","21800","52000","21400","39500","106600","16900"
2020,"Thames Valley Berkshire","LEP","2200","8500","40700","26300","67700","70500","99300","121600","24800"
2020,"The Marches","LEP","9400","4800","36500","22400","48700","22000","50400","109700","19100"
2020,"West of England","LEP","4200","10600","42500","28900","84400","56700","128900","212800","29800"
2020,"Worcestershire","LEP","2000","4000","35400","20100","50800","19700","55600","88200","18300"
2020,"Buckinghamshire","LEP","1200","1900","26600","20700","33200","32500","53900","76900","18000"
2020,"Coast to Capital","LEP","7900","6700","59200","43100","113000","83300","169800","246500","55800"
2020,"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","8200","20600","131200","67200","196900","90500","140000","332400","58400"
2020,"Enterprise M3","LEP","4500","8400","67800","56200","99500","94000","173400","224200","47900"
2020,"Hertfordshire","LEP","2000","6400","40800","48700","85400","71200","145300","189200","30600"
2020,"London","LEP","5900","31300","160600","243800","594800","644300","1298100","1359800","324300"
2020,"New Anglia","LEP","12200","14200","64400","60000","147100","67100","125300","233600","46600"
2020,"Oxfordshire","LEP","1500","3600","33200","20600","47700","37200","65700","109200","20500"
2020,"Sheffield City Region","LEP","1000","10700","75000","52900","103000","63300","82800","226600","29300"
2020,"Solent","LEP","2800","8700","57600","42200","108000","50400","82600","206400","34000"
2020,"South East","LEP","16900","37400","122000","186500","335800","195300","408900","629000","112600"
2020,"South East Midlands","LEP","5400","9900","85900","62400","119000","107200","153200","241200","45400"
2020,"York and North Yorkshire","LEP","9800","5600","40700","22800","65800","31300","58400","133500","23600"
2020,"Greater Cambridge and Greater Peterborough","LEP","6000","8000","51200","28100","58200","38600","61300","149300","25500"
2020,"Greater Lincolnshire","LEP","15500","10400","60200","33800","103300","40200","56900","147300","29700"
2020,"Hull and East Yorkshire","LEP","4200","4900","40500","19600","47900","21500","32400","87600","14500"
2020,"Leeds City Region","LEP","2100","20800","115800","75200","191300","94700","186600","372200","47500"
2021,"Black Country","LEP","c","7500","77700","31500","85400","41800","71700","197900","30800"
2021,"Cheshire and Warrington","LEP","4600","10800","45500","25100","68500","37700","81400","133500","28700"
2021,"Cornwall and Isles of Scilly","LEP","8700","7000","18300","20200","66300","13500","31400","85000","15300"
2021,"Coventry and Warwickshire","LEP","1900","8200","52200","21500","73200","57400","79400","147400","23000"
2021,"Cumbria","LEP","7000","19300","25100","17300","45500","11800","27200","69000","13700"
2021,"Dorset","LEP","2300","5700","33200","22900","68700","28300","67400","105300","24000"
2021,"Gloucestershire","LEP","3000","4500","40900","17200","45900","28900","54700","109400","14200"
2021,"Greater Birmingham and Solihull","LEP","2400","11000","117600","59000","148100","92100","155800","282500","46600"
2021,"Greater Manchester","LEP","4100","16200","96400","83300","216300","127000","260400","446700","65300"
2021,"Heart of the South West","LEP","15600","13500","73400","64500","164000","61100","119300","277100","42700"
2021,"Lancashire","LEP","8000","11700","91400","42400","132500","40500","83000","218400","31300"
2021,"Leicester and Leicestershire","LEP","3000","10800","65500","35400","84400","43400","77400","175100","21800"
2021,"Liverpool City Region","LEP","1200","10800","64500","42400","105100","67600","114000","295400","40400"
2021,"North East","LEP","9000","13000","105800","61000","157900","62700","128600","310400","46700"
2021,"Stoke-on-Trent and Staffordshire","LEP","7000","7900","80500","40800","105300","45700","72700","167900","35800"
2021,"Swindon and Wiltshire","LEP","2500","7900","38600","23600","59200","25600","60600","123300","21200"
2021,"Tees Valley","LEP","1500","7400","24700","20800","57000","22500","41700","95500","15200"
2021,"Thames Valley Berkshire","LEP","2200","7100","40700","31100","58000","80900","99400","124100","24000"
2021,"The Marches","LEP","12200","5200","38900","19900","58700","17100","48300","104600","19300"
2021,"West of England","LEP","3600","13600","50500","32100","96700","62900","121800","210900","29800"
2021,"Worcestershire","LEP","3600","1500","31600","15600","45200","23800","49900","91200","13800"
2021,"Buckinghamshire","LEP","1900","3700","27100","20200","41300","43400","56500","71900","11600"
2021,"Coast to Capital","LEP","7800","10200","44100","36800","118100","83600","180200","259000","65000"
2021,"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","6200","18200","128000","70700","180000","101400","142700","356600","53800"
2021,"Enterprise M3","LEP","4700","10500","63900","42000","113000","114600","162100","214800","47300"
2021,"Hertfordshire","LEP","2800","12600","37200","48100","87000","63800","142200","178400","39700"
2021,"London","LEP","7300","30600","144400","267000","672600","641300","1302500","1393500","337400"
2021,"New Anglia","LEP","12400","14600","64500","56000","150200","58800","124700","245800","52100"
2021,"Oxfordshire","LEP","2600","7900","25500","15700","49900","36000","64200","125600","21600"
2021,"Sheffield City Region","LEP","2800","9000","60000","47000","125400","68400","93400","231200","26200"
